currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
22,750.31,755.07,755.56,753.11,753.51,-45.90,-933.59,381.35,2.29,-2.73,-1.33,28.03
55,750.33,755.01,755.49,753.19,753.51,-42.48,-959.96,369.63,1.84,-0.80,2.24,25.48
88,750.32,755.00,755.45,753.12,753.47,-38.57,-961.91,378.42,1.05,-2.49,0.82,25.71
121,750.33,754.94,755.57,753.09,753.48,-57.62,-943.85,371.58,-0.18,1.89,0.10,29.62
154,750.37,754.96,755.56,753.08,753.49,-44.92,-946.29,373.54,-0.66,-1.82,-3.50,29.21
186,750.32,754.85,755.55,753.16,753.47,-57.62,-965.82,370.12,-1.90,-0.15,-0.89,28.91
221,750.30,754.86,755.47,753.13,753.44,-56.64,-954.10,361.33,-0.09,-1.38,-0.80,27.23
254,750.18,754.81,755.49,753.07,753.39,-37.60,-941.41,375.98,-0.03,0.70,0.32,29.46
286,750.22,754.73,755.52,753.14,753.40,-55.18,-943.36,358.40,-3.04,-3.09,1.22,29.88
319,750.23,754.68,755.50,753.09,753.38,-52.25,-958.50,365.23,-2.09,0.82,0.73,30.41
352,750.20,754.71,755.51,753.10,753.38,-54.69,-954.10,377.44,-4.13,6.02,0.46,30.36
384,750.25,754.69,755.45,753.09,753.37,-62.01,-947.27,361.82,-3.24,2.40,-1.31,29.00
419,750.12,754.67,755.50,753.14,753.36,-53.22,-948.73,374.02,-2.76,1.56,-0.29,29.99
451,750.08,754.60,755.50,753.08,753.31,-53.22,-953.12,361.33,-1.47,-1.05,0.74,31.65
484,750.03,754.71,755.49,753.09,753.33,-55.66,-940.43,357.42,0.39,-2.10,2.11,30.52
516,750.05,754.69,755.44,753.08,753.32,-47.85,-942.87,363.77,-0.57,0.73,-1.24,29.55
549,749.98,754.74,755.52,753.05,753.32,-48.83,-956.05,365.23,0.75,0.34,-0.19,31.83
581,749.98,754.76,755.49,753.16,753.35,-49.32,-952.64,357.42,3.45,-1.94,-0.62,29.25
617,749.99,754.77,755.52,753.06,753.33,-43.95,-944.34,373.05,-0.28,0.05,-0.34,31.45
649,749.99,754.71,755.48,753.14,753.33,-43.95,-948.73,375.98,0.56,-2.04,0.92,29.76
681,750.00,754.67,755.51,753.16,753.34,-62.50,-951.17,362.79,-0.42,2.38,-0.55,30.47
714,750.02,754.75,755.49,753.13,753.34,-47.85,-940.43,383.79,0.63,-1.67,0.27,29.62
746,750.02,754.68,755.50,753.16,753.34,-40.53,-935.06,374.51,-1.50,-0.40,0.11,30.15
778,750.02,754.74,755.42,753.09,753.32,-38.57,-945.80,361.82,-1.10,2.06,-1.40,28.55
813,750.15,754.73,755.54,753.16,753.39,-51.76,-948.73,372.07,-3.80,-0.77,-2.60,30.08
846,750.14,754.78,755.48,753.10,753.37,-46.88,-962.89,373.05,0.85,2.59,-1.49,29.17
879,750.06,754.83,755.48,753.15,753.38,-44.43,-947.75,362.79,-3.41,2.15,-0.01,28.47
911,750.18,754.81,755.49,753.16,753.41,-51.76,-958.50,357.42,-1.41,1.80,-0.21,28.26
944,750.08,754.82,755.39,753.12,753.35,-42.97,-956.54,361.82,0.64,0.95,-1.15,26.49
977,750.05,754.88,755.50,753.14,753.39,-40.04,-958.50,372.07,-2.76,0.36,-1.33,28.56
1013,750.15,754.85,755.51,753.12,753.41,-40.53,-943.85,366.21,-0.19,0.95,0.65,29.05
1045,750.13,754.82,755.51,753.14,753.40,-44.92,-939.94,377.44,0.05,-1.33,-1.40,29.06
1078,750.26,754.82,755.50,753.11,753.42,-50.78,-949.22,371.58,0.36,2.03,0.85,28.84
1111,750.22,754.83,755.49,753.08,753.41,-50.29,-944.82,374.51,0.47,-2.75,0.73,29.19
1143,750.25,754.83,755.52,753.16,753.44,-57.13,-946.78,385.25,0.89,-0.62,-0.57,28.58
