currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
12109,761.17,812.15,764.79,772.79,777.72,-15.14,-907.23,521.97,-12.27,8.97,-11.08,-526.78,2423,0,70,9.65905,3.81458,-84.3947,6558.53,-3042.4,545.504,-35.8982,-77.418,0
12142,754.69,811.74,765.23,770.26,775.48,-30.27,-925.29,536.62,-34.13,16.11,-13.02,-452.89,2429,0,70,31.4318,32.6276,-289.478,25069.9,-12648.7,1116.34,-43.6844,-86.6455,0
12175,749.13,805.21,765.18,763.32,770.71,-96.68,-1051.76,528.81,-86.62,-3.63,-13.11,-280.64,2436,0,70,26.1786,49.2784,-329.518,24913.7,-15895.8,-248.711,-48.2411,-75.612,0
12207,747.54,789.67,764.45,752.14,763.45,-272.46,-1214.84,722.66,-37.71,-60.5,-47.37,-4.16,2442,0,70,47.5853,56.8271,-369.404,24803.1,-16356,1081.92,-44.2795,-67.1511,0
12243,747,771.86,762,739.15,755,-222.17,-1407.71,656.74,-112.59,-86,-137.05,270.57,2450,0,70,61.3002,58.4327,-454.064,28028.8,-19655.8,1374.86,-43.2883,-61.7303,0
12275,746.6,763.17,758.38,732.9,750.26,-111.33,-1561.52,352.54,-45.34,-83.42,-213.27,343.66,2456,0,70,68.3745,56.2541,-538.226,32749.7,-23638.7,2269.21,-43.9195,-60.8479,0
12308,746.44,758.98,756.21,730.53,748.04,283.69,-756.35,244.63,-85.71,-37.95,-215.7,358.5,2463,0,70,69.7946,53.9632,-613.363,36259.1,-27297.2,2470.19,-44.5038,-59.1164,0
12341,746.67,757.09,755.62,731.02,747.6,-565.43,-883.79,-50.29,-22.97,21.79,-126.98,351.02,2469,0,70,73.749,55.0773,-647.942,35890.4,-28487.2,2598.37,-43.9656,-55.3922,0
12374,746.5,756.41,755.56,731.91,747.6,-669.92,-514.65,167.97,42.55,97.11,-9.04,342.5,2476,0,70,77.2905,53.5483,-663.48,33023.2,-28535.6,2784.23,-43.0091,-49.7731,0
12409,746.52,755.59,755.39,732.78,747.57,-582.03,-431.64,130.86,38.1,102.74,37.58,331.88,2483,0,70,73.6171,55.7621,-667.091,28218.1,-28560,1831.8,-42.8127,-42.3002,0
12442,746.49,755.25,755.45,733.6,747.7,-547.85,-420.9,236.33,15.63,94.24,81.06,324.09,2489,0,70,69.9174,58.7928,-662.596,23277.7,-28101.8,1136.86,-42.4117,-35.1302,0
12475,746.4,755.01,755.42,734.53,747.84,-459.96,-643.55,299.32,20.27,58.57,105.31,311.89,2496,0,70,68.035,60.7514,-655.063,18300.2,-27552.7,430.357,-42.0612,-27.9365,0
12508,746.44,754.93,755.44,735.33,748.03,-285.64,-835.94,321.78,-12.59,41.15,139,301.12,2503,0,70,66.2386,60.5399,-662.238,16429.9,-27904.8,129.923,-42.1371,-24.8099,0
12541,746.3,755,755.42,736.25,748.24,-82.52,-1119.63,521.97,-9.37,26.43,151.08,287.14,2509,0,70,63.6214,57.3811,-675.091,16945.1,-28694.5,-2.2511,-42.5048,-25.1003,0
12574,746.23,755.05,755.46,737.16,748.47,105.96,-1259.28,640.14,-9.78,25.87,120.34,274.56,2516,0,70,63.013,50.3877,-678.918,18487.4,-29145.1,78.9064,-42.9287,-27.2307,0
12609,746.16,754.76,755.37,737.96,748.56,178.71,-1265.14,604,-8.34,8.33,81.79,263.11,2523,0,70,61.8392,45.7115,-681.07,19708.4,-29521.3,-92.7264,-43.3455,-28.9375,0
12642,746.18,754.56,755.41,738.71,748.71,363.28,-1344.24,527.34,-17.52,-17.92,96.18,254.55,2529,0,70,60.8189,41.935,-680.189,20802.8,-29599.8,-143.391,-43.517,-30.5841,0
12674,746.1,754.5,755.43,739.61,748.91,559.08,-1199.71,459.96,-3.3,-50.35,104.64,242.58,2536,0,70,60.9508,36.6885,-676.366,22573.2,-29620.6,-66.1734,-43.7938,-33.3742,0
12707,746.15,754.36,755.43,740.41,749.09,603.52,-1082.03,471.19,-11.16,-41.56,62.79,231.88,2542,0,70,61.279,32.222,-677.469,24394.2,-29975.1,141.078,-44.2458,-36.0078,0
12740,746.14,754.2,755.35,741.18,749.22,587.89,-939.94,393.07,7.53,-34.28,26.5,219.84,2549,0,70,61.7757,28.5922,-677.999,25937.9,-30318.6,171.728,-44.7177,-38.2566,0
12773,746.12,754.05,755.42,741.95,749.39,550.78,-809.08,363.28,-14.75,-15.21,6.42,211.3,2556,0,70,61.9562,24.2019,-672.773,27026.1,-30495.3,346.296,-45.3278,-40.1711,0
12808,746.09,753.97,755.4,742.75,749.55,394.04,-864.75,365.72,-12.34,-16.02,5.9,199.93,2563,0,70,64.1415,21.1741,-674.521,28653.8,-30785,513.466,-45.6398,-42.4801,0
12840,746.1,753.77,755.36,743.42,749.66,292.97,-855.47,314.45,-5.57,-32.27,-0.21,190.64,2569,0,70,65.4844,18.8176,-676.938,30429.8,-31274.2,636.597,-46.1995,-44.9521,0
12873,746.08,753.77,755.44,744.16,749.87,129.88,-822.75,234.37,-15.12,-36.56,-7.8,181.79,2576,0,70,67.3025,15.1936,-676.94,32041.2,-31593,733.521,-46.6704,-47.3324,0
12906,746.07,753.81,755.42,744.81,750.03,172.85,-831.54,231.93,-26.7,-32.24,-10.92,171.39,2582,0,70,69.3449,12.0928,-670.518,33205.3,-31372.7,999.859,-46.7888,-49.5221,0
