currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,764.43,764.67,758.51,758.74,761.59,112.30,-836.91,575.68,0.01,-0.98,0.22,-106.80
60,764.40,764.65,758.51,758.67,761.56,104.49,-839.36,578.61,-0.10,-0.26,-1.31,-105.50
95,764.43,764.60,758.48,758.75,761.57,98.14,-846.19,566.41,1.56,1.95,-1.30,-106.97
130,764.48,764.60,758.55,758.71,761.58,110.84,-839.84,583.50,2.25,2.40,-0.73,-104.87
165,764.45,764.55,758.51,758.79,761.57,99.12,-845.70,567.87,-0.79,1.18,-0.71,-106.61
200,764.53,764.61,758.51,758.72,761.59,98.14,-836.91,579.59,-0.42,3.42,-0.96,-106.15
238,764.51,764.53,758.51,758.71,761.56,110.84,-835.45,583.98,0.76,-0.11,0.78,-105.49
273,764.56,764.52,758.47,758.67,761.55,102.05,-837.40,572.27,-0.22,0.78,-2.09,-105.89
308,764.69,764.46,758.52,758.63,761.57,102.54,-837.89,568.85,-1.25,1.08,-0.47,-104.12
343,764.73,764.44,758.48,758.57,761.56,113.28,-831.05,561.52,1.08,0.53,0.50,-104.04
378,764.72,764.35,758.38,758.50,761.49,105.96,-838.87,573.73,1.25,0.53,0.27,-104.64
413,764.84,764.34,758.40,758.48,761.51,96.68,-841.31,571.29,-0.72,2.97,1.19,-104.27
450,764.93,764.24,758.41,758.51,761.52,104.00,-830.57,573.73,0.90,2.31,-0.82,-103.93
485,764.96,764.27,758.40,758.45,761.52,104.00,-833.98,565.43,0.44,-0.46,-2.05,-103.78
520,765.02,764.20,758.39,758.41,761.50,95.70,-836.91,574.22,0.30,0.98,0.70,-103.13
555,765.12,764.22,758.45,758.32,761.53,98.63,-844.24,568.85,0.18,1.56,0.74,-100.75
590,765.07,764.14,758.37,758.31,761.47,103.52,-841.80,565.92,1.78,2.62,1.83,-101.72
625,765.13,764.11,758.31,758.24,761.45,104.49,-823.24,577.64,1.22,0.58,0.50,-102.41
662,765.24,764.14,758.33,758.21,761.48,96.68,-822.27,577.64,1.73,-1.85,3.21,-101.73
697,765.28,764.08,758.35,758.26,761.49,96.68,-822.27,566.89,0.91,1.51,-0.93,-101.74
732,765.34,764.00,758.35,758.28,761.49,110.35,-842.29,570.31,0.98,0.05,0.16,-101.69
767,765.33,764.04,758.33,758.19,761.47,106.93,-833.50,570.80,0.49,-0.69,-1.81,-101.03
802,765.30,764.00,758.34,758.24,761.47,96.19,-838.87,561.52,-1.68,1.34,0.85,-101.16
837,765.32,763.98,758.39,758.21,761.47,102.05,-829.10,577.64,-0.08,1.79,0.85,-99.41
874,765.45,764.00,758.31,758.14,761.48,104.49,-815.92,571.78,1.21,-0.58,-1.28,-100.86
910,765.39,763.98,758.27,758.14,761.45,103.03,-848.63,567.38,1.05,1.10,0.94,-101.50
945,765.49,763.94,758.30,758.14,761.47,108.40,-833.50,574.71,0.96,2.06,0.55,-100.89
980,765.54,763.90,758.30,758.16,761.48,106.93,-840.33,570.80,0.47,1.59,-0.53,-100.94
1015,765.49,763.91,758.27,758.19,761.47,92.77,-831.05,577.15,0.09,2.28,1.27,-102.07
1050,765.58,763.91,758.30,758.15,761.49,100.10,-841.80,575.68,-0.31,1.13,-1.02,-101.04
1088,765.57,763.88,758.26,758.17,761.47,100.59,-844.24,577.15,1.39,0.64,0.73,-101.99
1123,765.61,763.88,758.29,758.11,761.47,100.10,-829.59,564.94,-0.34,1.56,0.03,-100.56
1158,765.72,763.92,758.22,758.09,761.49,100.59,-839.36,578.61,-2.29,-0.85,3.35,-102.66
1193,765.72,763.78,758.21,758.07,761.44,93.26,-837.40,582.52,-0.12,2.56,0.29,-101.59
1228,765.79,763.91,758.29,758.09,761.52,108.89,-829.59,571.78,-0.31,1.88,2.21,-101.10
1264,765.84,763.83,758.31,758.05,761.51,107.42,-845.70,580.08,5.52,3.35,0.02,-99.60
1301,765.94,763.89,758.28,758.07,761.54,109.86,-822.27,561.04,-2.33,2.92,1.11,-101.51
