currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
24,785.72,765.31,753.52,752.33,764.22,-39.06,-861.82,545.41,-2.80,-2.80,-0.87,-214.77
55,785.91,765.18,753.52,752.23,764.21,-21.00,-856.93,544.92,-0.46,-1.12,-1.97,-212.85
86,785.88,765.11,753.42,752.19,764.15,-30.76,-869.14,543.95,-0.57,-1.06,0.17,-214.06
118,785.99,764.99,753.50,752.16,764.16,-29.79,-854.98,545.41,-0.17,-1.98,-0.54,-211.24
149,786.09,764.95,753.48,752.25,764.19,-21.00,-860.35,557.62,-0.89,1.66,-0.34,-213.02
180,786.10,764.97,753.47,752.19,764.18,-21.48,-868.65,542.48,0.50,0.93,-0.90,-212.54
212,786.12,764.86,753.42,752.16,764.14,-37.60,-863.77,536.13,-0.64,1.21,-0.67,-212.64
244,786.12,764.92,753.44,752.22,764.18,-44.92,-867.68,548.34,-0.46,-1.18,1.15,-213.41
275,786.20,764.81,753.43,752.12,764.14,-39.55,-866.70,537.11,-0.89,-0.69,-2.26,-211.76
307,786.14,764.82,753.40,752.14,764.12,-18.07,-867.68,535.64,-0.66,0.18,1.23,-212.57
339,786.08,764.80,753.45,752.19,764.13,-34.18,-857.42,543.95,-1.99,-0.71,-1.12,-211.63
370,786.09,764.78,753.45,752.17,764.12,-25.88,-871.09,543.95,-0.79,1.71,1.15,-211.17
402,786.03,764.75,753.45,752.23,764.11,-10.74,-858.40,552.25,-0.75,3.58,2.36,-211.66
434,786.10,764.76,753.41,752.28,764.14,-26.37,-864.26,546.87,0.02,0.48,-0.21,-213.71
466,786.00,764.74,753.45,752.30,764.12,-30.27,-858.40,551.27,-0.26,-0.74,-1.82,-212.65
497,785.92,764.82,753.40,752.35,764.12,-26.86,-860.84,537.60,-1.19,-0.47,0.42,-214.86
529,785.82,764.87,753.45,752.48,764.16,-21.48,-869.63,553.22,-1.85,0.69,-1.42,-215.57
561,785.62,764.94,753.54,752.54,764.16,-21.97,-863.28,551.27,-0.24,0.47,-2.11,-214.02
592,785.39,764.98,753.51,752.66,764.14,-30.27,-868.65,537.11,-1.16,-1.20,0.16,-216.28
624,785.19,765.10,753.52,752.71,764.13,-38.57,-865.72,542.48,-0.63,-2.14,-1.90,-217.02
656,784.95,765.28,753.49,752.88,764.15,-20.51,-871.09,550.29,-0.48,0.38,-0.50,-220.94
688,784.74,765.40,753.54,752.97,764.16,-28.32,-862.79,545.90,-2.37,0.03,0.36,-221.09
719,784.46,765.47,753.52,753.01,764.12,-19.04,-871.09,555.18,-1.11,2.64,0.39,-222.00
751,784.40,765.49,753.53,753.09,764.13,-25.88,-864.26,542.97,-1.21,-1.36,0.31,-222.60
783,784.30,765.68,753.57,753.03,764.15,-42.48,-879.39,547.85,-0.79,0.84,1.14,-222.09
814,784.30,765.78,753.52,753.25,764.21,-20.02,-865.23,553.22,-1.53,0.46,0.96,-227.24
848,784.14,765.72,753.56,753.34,764.19,-23.44,-870.12,522.95,0.53,-0.79,0.89,-226.57
880,784.10,765.88,753.61,753.38,764.24,-34.67,-871.09,546.87,-1.90,-0.53,0.37,-227.11
911,784.00,765.88,753.58,753.37,764.21,-30.76,-866.21,542.48,0.56,-0.95,0.11,-227.26
943,783.93,765.89,753.59,753.44,764.21,-34.18,-876.46,541.50,-2.21,0.72,-1.27,-227.84
975,783.90,766.01,753.60,753.54,764.26,-30.76,-860.35,547.85,-0.27,1.22,-0.23,-230.00
1006,783.84,766.06,753.68,753.56,764.28,-22.46,-867.19,541.02,-2.24,1.73,1.79,-228.61
1038,783.98,766.14,753.57,753.45,764.28,-27.34,-868.65,550.29,1.41,4.11,-1.73,-230.77
1070,783.99,766.14,753.47,753.50,764.28,-23.93,-868.16,540.04,0.49,1.94,2.00,-234.10
1102,784.03,766.15,753.64,753.50,764.33,-32.23,-869.63,548.83,-0.98,3.39,-1.08,-230.07
1133,784.03,766.17,753.61,753.53,764.33,-23.44,-867.68,554.69,-0.31,0.30,-2.18,-231.27
1165,784.01,766.13,753.65,753.52,764.33,-21.97,-870.12,552.25,-0.98,-1.24,-1.20,-229.85
1197,783.97,766.19,753.65,753.46,764.32,-32.71,-863.77,543.46,0.36,-0.69,0.76,-229.23
1228,784.00,766.23,753.64,753.46,764.33,-11.23,-859.37,556.64,-1.95,1.47,0.43,-230.06
1260,784.01,766.23,753.62,753.51,764.34,-19.04,-874.51,542.97,-0.49,0.98,-1.61,-231.30
1292,783.92,766.30,753.66,753.54,764.35,-38.09,-869.14,546.39,-0.14,2.10,0.05,-231.12
