currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,767.50,765.79,762.18,757.91,763.35,65.92,-874.51,518.55,0.80,-0.15,0.92,-22.54
59,767.58,765.91,762.22,758.00,763.43,73.24,-873.05,517.58,0.11,1.67,-2.28,-24.06
93,767.51,765.94,762.30,758.06,763.45,84.47,-870.12,516.60,-0.43,3.45,0.24,-23.04
127,767.47,765.96,762.29,758.04,763.44,73.24,-865.72,515.14,-0.91,2.38,-2.44,-22.85
160,767.47,766.05,762.35,758.03,763.47,70.31,-871.58,521.97,1.06,1.98,1.74,-21.93
194,767.36,766.12,762.36,758.01,763.46,75.20,-872.07,507.81,-2.51,1.35,1.20,-21.79
228,767.35,766.12,762.36,757.98,763.45,70.80,-862.79,529.30,1.20,3.58,1.59,-21.23
262,767.27,766.11,762.41,758.05,763.46,66.41,-865.23,519.53,-0.94,2.61,0.68,-20.66
296,767.17,766.16,762.38,758.07,763.44,84.96,-879.88,521.00,-0.75,3.95,0.02,-21.57
331,767.14,766.17,762.40,758.08,763.45,70.80,-867.68,522.46,-1.16,2.36,1.18,-21.37
365,767.05,766.24,762.37,758.15,763.45,66.89,-875.49,514.16,-0.63,1.08,1.47,-23.33
399,766.98,766.19,762.38,758.13,763.42,74.71,-862.30,522.95,0.78,1.41,0.24,-22.42
433,766.96,766.16,762.42,758.16,763.42,75.20,-870.12,535.64,0.18,1.91,1.35,-21.35
467,766.88,766.26,762.41,758.12,763.42,73.24,-878.91,520.51,-2.57,0.15,-1.27,-21.63
501,766.64,766.18,762.37,758.11,763.33,75.68,-863.28,522.95,1.01,2.47,1.25,-21.05
535,766.67,766.16,762.42,758.10,763.34,66.89,-874.02,502.93,1.15,-1.24,-1.62,-19.57
570,766.69,766.15,762.42,758.15,763.35,78.61,-868.16,527.34,0.37,-0.44,0.57,-20.04
604,766.57,766.16,762.41,758.10,763.31,76.66,-878.42,513.67,0.63,-0.20,1.82,-19.48
638,766.54,766.11,762.41,758.12,763.29,71.29,-856.93,523.93,0.26,1.81,0.50,-19.22
672,766.57,766.03,762.36,758.11,763.27,72.27,-873.05,519.04,-1.03,4.15,-1.76,-19.86
706,766.56,766.07,762.38,758.10,763.28,80.57,-874.02,520.02,-0.04,0.48,0.52,-19.34
740,766.54,766.14,762.36,758.09,763.28,80.08,-870.61,512.21,2.12,-1.37,-3.30,-20.27
774,766.55,766.01,762.30,758.10,763.24,80.57,-875.98,520.02,0.91,-0.18,-1.42,-20.76
809,766.60,765.94,762.34,758.05,763.23,84.47,-860.35,514.16,0.91,-0.94,1.40,-18.84
843,766.72,765.95,762.22,757.99,763.22,68.36,-862.79,530.27,0.15,1.34,-0.21,-21.26
877,766.74,765.81,762.22,757.94,763.18,71.78,-878.91,516.11,0.83,-0.31,-0.44,-19.59
913,766.79,765.88,762.16,757.93,763.19,79.59,-870.61,515.62,-1.27,2.34,0.40,-21.82
947,766.78,765.77,762.21,757.99,763.19,74.71,-881.84,512.70,2.23,2.21,-0.01,-20.41
981,766.77,765.89,762.19,757.99,763.21,77.64,-861.82,521.97,2.18,0.27,2.07,-21.75
1015,766.67,765.89,762.16,758.03,763.19,73.24,-865.72,527.83,2.14,2.52,0.00,-22.68
1049,766.56,765.89,762.28,758.01,763.18,76.17,-866.70,532.23,0.24,-0.19,1.44,-19.28
1083,766.39,765.92,762.28,758.00,763.15,77.64,-862.79,521.00,-1.42,-0.20,2.30,-18.78
1117,766.18,766.02,762.28,757.98,763.11,74.22,-881.35,518.55,-0.21,2.53,2.41,-18.44
1152,765.83,766.21,762.32,758.13,763.12,81.05,-871.09,508.30,1.98,1.84,-0.17,-19.91
1186,765.46,766.50,762.34,758.20,763.13,81.05,-871.58,513.67,2.33,0.65,1.58,-21.57
1220,765.18,766.47,762.41,758.33,763.10,65.43,-867.68,527.34,-0.03,-2.69,2.46,-20.39
1254,765.03,766.57,762.44,758.35,763.10,77.64,-869.63,504.39,0.56,1.53,2.15,-20.37
1288,765.03,766.60,762.48,758.28,763.10,74.22,-872.56,513.18,-0.21,-0.07,1.60,-18.59
1322,765.05,766.66,762.48,758.35,763.14,66.41,-874.51,534.18,3.57,0.82,2.05,-20.05
1356,765.09,766.62,762.54,758.34,763.15,71.78,-864.26,519.04,-2.33,1.27,0.61,-18.33
1391,765.15,766.60,762.52,758.36,763.16,77.15,-876.46,510.25,0.92,0.92,1.31,-19.10
1425,765.25,766.59,762.51,758.37,763.18,72.27,-867.19,520.02,-0.35,1.50,3.05,-19.65
1458,765.29,766.56,762.43,758.28,763.14,85.45,-881.84,522.46,-0.11,1.70,2.12,-20.29
1492,765.38,766.51,762.38,758.21,763.12,70.80,-857.91,524.41,-0.01,1.66,-0.51,-20.68
1525,765.41,766.63,762.38,758.35,763.19,83.01,-874.51,534.18,0.17,-0.45,-1.39,-23.42
1559,765.54,766.70,762.31,758.30,763.21,61.52,-867.19,520.02,0.01,2.74,-0.56,-25.75
1593,765.50,766.66,762.40,758.39,763.24,75.20,-862.30,529.30,1.21,-0.26,-0.72,-24.31
1626,765.48,766.66,762.39,758.37,763.23,78.61,-862.79,529.79,0.69,2.20,1.71,-24.08
1661,765.53,766.64,762.41,758.45,763.26,64.94,-872.07,516.11,0.47,1.89,-1.99,-24.90
1695,765.55,766.75,762.35,758.35,763.25,70.80,-863.77,517.58,1.74,2.14,3.65,-25.75
1728,765.51,766.77,762.48,758.39,763.29,85.94,-861.33,526.37,-0.47,3.11,0.99,-23.20
1762,765.48,766.84,762.41,758.38,763.28,68.85,-883.30,521.00,0.34,3.04,2.77,-25.37
1796,765.33,766.97,762.48,758.41,763.30,77.15,-868.16,518.55,-0.37,0.49,0.37,-24.39
