currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,793.24,763.09,756.09,753.19,766.40,-17.58,-862.79,547.36,-2.14,1.89,-0.47,-171.57
60,793.25,763.08,756.10,753.24,766.42,-24.90,-861.33,542.97,-1.11,-0.63,1.15,-172.08
94,793.37,763.03,756.06,753.19,766.41,-16.60,-863.28,556.64,-0.38,1.03,2.63,-172.34
128,793.20,762.95,756.08,753.26,766.38,-26.86,-855.47,564.94,-1.24,0.47,-3.13,-171.64
161,792.91,762.88,756.07,753.07,766.23,-20.02,-872.07,541.02,-0.95,-1.04,-0.61,-167.49
195,792.86,762.92,756.08,753.04,766.22,-16.60,-861.82,545.90,0.11,-0.50,2.05,-166.74
235,792.93,762.78,756.05,753.00,766.19,-19.04,-868.16,542.48,0.55,-0.52,-0.27,-166.25
270,793.16,762.79,756.10,752.95,766.25,-19.04,-865.72,546.39,-1.07,0.59,0.45,-164.80
305,793.35,762.69,756.05,753.03,766.28,-13.67,-868.65,551.76,0.18,0.34,-2.66,-167.12
339,793.40,762.65,756.19,753.00,766.31,-30.27,-864.26,550.78,-0.94,1.43,0.22,-163.19
374,793.41,762.71,756.11,753.01,766.31,-26.37,-858.89,564.45,-1.17,-0.29,-1.74,-165.92
409,793.45,762.62,756.09,753.01,766.29,-26.37,-863.77,553.71,0.53,2.79,0.11,-165.88
447,793.46,762.64,756.13,753.04,766.32,-25.39,-864.75,543.95,-0.51,1.89,0.28,-165.36
482,793.32,762.59,756.13,753.05,766.27,-42.97,-854.49,552.25,0.67,-0.24,0.47,-164.59
517,792.98,762.48,756.06,752.98,766.12,-32.71,-864.26,549.80,-2.87,-1.98,0.48,-163.35
552,792.64,762.45,756.10,753.00,766.05,-13.67,-865.72,549.32,-0.18,0.49,-0.72,-161.34
587,792.42,762.46,756.03,752.93,765.96,-22.46,-856.45,550.78,-1.24,-0.11,-1.37,-161.34
622,792.26,762.50,756.00,752.96,765.93,-33.20,-866.21,551.76,-0.53,0.12,-1.04,-162.18
660,792.08,762.51,755.99,752.91,765.87,-18.07,-850.59,556.15,1.97,1.58,-1.11,-161.27
695,792.04,762.47,756.01,752.96,765.87,-27.83,-868.16,559.08,1.81,1.27,-1.89,-160.94
730,792.09,762.44,756.08,752.99,765.90,-23.93,-854.98,539.06,-2.27,0.59,2.73,-159.51
765,791.98,762.41,756.06,753.09,765.88,-27.34,-870.61,560.06,-1.44,-1.09,-0.20,-160.85
800,791.94,762.36,756.03,753.06,765.85,-18.07,-870.12,543.46,-2.37,1.54,-2.32,-160.87
838,791.81,762.30,756.05,753.05,765.81,-22.95,-869.14,557.13,-0.14,-0.43,0.05,-159.31
873,791.71,762.25,756.02,753.09,765.77,-28.32,-858.89,557.62,-0.63,0.34,2.86,-159.78
908,791.69,762.25,756.08,753.10,765.78,-35.16,-867.19,544.92,-0.17,-1.20,-0.73,-158.46
942,791.67,762.23,756.06,753.23,765.80,-15.14,-862.30,547.85,-2.16,-0.73,0.12,-160.68
977,791.58,762.37,755.98,753.25,765.80,-27.83,-865.72,542.97,0.51,-0.99,-0.28,-163.51
1012,791.43,762.37,756.02,753.35,765.79,-12.70,-871.09,551.76,1.40,1.85,-0.33,-163.62
1050,791.30,762.44,756.11,753.41,765.82,-27.83,-860.84,550.29,0.74,-2.85,-1.95,-162.23
1085,791.22,762.48,756.06,753.44,765.80,-34.18,-865.23,557.62,-0.09,2.60,-1.26,-164.09
1120,791.10,762.53,756.13,753.43,765.80,-39.55,-866.70,561.04,-0.37,1.76,0.75,-162.18
1154,791.00,762.53,756.09,753.36,765.74,-28.32,-881.35,536.13,-1.79,0.34,-1.36,-161.70
1189,791.02,762.51,756.11,753.39,765.76,-27.83,-868.16,548.34,-0.78,0.03,-1.80,-161.67
1224,791.06,762.53,756.04,753.28,765.73,-19.04,-860.84,553.71,-0.60,1.85,0.43,-162.26
1261,791.06,762.57,756.12,753.27,765.76,-23.44,-862.30,550.29,1.32,5.34,-1.47,-160.12
1296,791.11,762.49,756.10,753.18,765.72,-24.90,-863.28,536.62,0.21,1.60,-2.56,-158.87
1331,791.20,762.52,756.06,753.09,765.72,-23.93,-859.37,540.53,-1.30,-1.89,-1.69,-159.04
1367,791.23,762.49,756.08,753.17,765.74,-36.13,-861.33,555.18,1.53,-1.48,-2.84,-159.67
1401,791.62,762.62,756.09,753.04,765.84,-32.71,-861.33,559.57,0.08,1.21,-1.81,-159.82
1437,791.88,762.55,756.11,752.95,765.87,-16.60,-868.16,549.80,-0.01,3.82,0.57,-158.36
1474,792.01,762.55,756.03,752.86,765.86,-26.37,-869.63,549.32,-2.62,1.60,-0.75,-159.65
1509,792.15,762.48,756.00,752.84,765.87,-25.88,-860.35,536.13,-2.54,0.83,0.30,-159.99
1544,792.26,762.43,755.95,752.90,765.88,-14.16,-866.21,560.06,-0.13,0.79,-2.82,-162.09
1579,792.45,762.36,755.98,752.89,765.92,-18.55,-871.09,541.02,-0.08,-0.40,-0.20,-161.37
1614,792.50,762.29,756.00,752.93,765.93,-22.46,-857.42,555.66,-0.70,-2.15,1.20,-160.95
1649,792.41,762.21,755.95,752.94,765.88,-19.53,-870.61,544.92,-0.43,-0.55,-2.56,-161.28
