currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
23,782.59,766.97,754.56,753.21,764.33,-37.60,-875.98,538.09,-0.98,1.37,-1.37,-204.43
55,782.68,767.00,754.60,753.17,764.36,-37.60,-874.51,538.09,-0.74,1.88,0.24,-203.38
86,782.66,766.98,754.60,753.11,764.34,-32.71,-875.49,533.20,-0.28,-1.40,-1.36,-202.20
118,782.69,766.91,754.61,753.05,764.32,-24.41,-869.14,532.23,3.24,1.31,0.22,-200.76
149,782.74,766.93,754.60,753.06,764.34,-39.06,-874.02,541.99,0.66,0.78,-2.09,-201.47
180,782.79,766.89,754.56,753.18,764.35,-36.62,-866.21,520.02,-0.02,-0.57,-0.50,-204.10
212,782.95,766.89,754.60,753.03,764.37,-37.11,-872.56,534.18,1.20,-1.97,-3.10,-201.41
244,782.92,766.77,754.55,753.03,764.32,-24.90,-866.70,545.90,-0.76,0.28,-0.18,-201.55
275,782.97,766.71,754.58,752.91,764.29,-30.76,-870.61,550.78,0.27,1.95,-0.96,-198.70
307,782.98,766.69,754.59,752.94,764.30,-30.27,-870.12,548.83,-1.33,2.15,0.84,-198.75
339,783.06,766.67,754.54,752.91,764.30,-28.32,-866.70,539.55,0.15,-4.03,2.08,-199.92
370,783.09,766.55,754.50,752.93,764.27,-40.53,-875.00,538.57,0.44,1.79,0.92,-200.16
402,783.00,766.61,754.47,752.90,764.25,-28.32,-870.12,546.87,1.79,-0.78,-1.40,-200.69
434,782.98,766.56,754.56,752.99,764.27,-16.60,-866.70,541.99,0.55,-1.63,-2.81,-199.20
466,783.02,766.53,754.56,753.00,764.28,-24.90,-870.61,548.34,0.68,4.22,1.98,-199.40
497,782.92,766.62,754.58,753.00,764.28,-32.23,-866.21,524.90,0.08,-0.85,-0.25,-199.34
529,782.72,766.64,754.49,753.17,764.25,-13.18,-871.09,539.55,-1.31,-1.62,0.30,-203.32
561,782.76,766.67,754.54,753.07,764.26,-32.71,-871.09,540.04,1.45,1.14,-0.62,-201.24
593,782.66,766.64,754.60,753.10,764.25,-31.74,-865.72,540.04,-0.97,1.26,-1.36,-199.60
624,782.60,766.72,754.52,753.10,764.23,-31.25,-882.32,540.04,0.79,-1.02,-1.31,-201.82
656,782.52,766.74,754.51,753.15,764.23,-36.13,-875.00,529.79,-1.43,0.42,-1.43,-202.78
688,782.43,766.80,754.56,753.16,764.24,-41.99,-870.61,530.27,-0.02,-0.08,-0.34,-201.74
