currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
24,784.56,774.42,754.93,764.98,769.72,-41.02,-951.17,343.26,0.11,1.29,-2.73,-387.70
59,784.43,774.57,754.91,764.97,769.72,-49.80,-958.98,340.33,0.44,1.08,-0.90,-388.93
94,784.40,774.78,754.87,764.92,769.74,-41.99,-957.03,356.93,0.70,-1.76,-0.35,-391.38
129,784.60,774.82,754.84,765.00,769.82,-62.50,-958.50,333.50,-0.64,0.01,-0.25,-393.63
164,784.75,774.79,754.89,764.98,769.85,-38.09,-971.19,334.96,-0.21,1.66,-1.93,-392.99
200,784.91,774.73,754.87,765.02,769.88,-56.15,-958.98,362.79,-0.71,0.78,2.34,-393.18
235,785.03,774.75,754.89,765.10,769.94,-49.32,-971.19,344.73,-0.45,0.18,2.46,-394.34
270,784.94,774.77,754.98,765.18,769.97,-56.15,-962.40,352.05,0.44,-1.09,1.13,-394.59
306,784.83,774.70,754.92,765.23,769.92,-41.50,-957.52,350.10,-0.30,-0.06,0.73,-394.11
341,784.64,774.71,754.97,765.40,769.93,-55.18,-955.08,353.52,2.09,1.32,0.88,-395.05
377,784.54,774.74,755.01,765.48,769.94,-54.69,-959.96,340.33,-1.08,-1.65,0.95,-395.59
412,784.71,774.43,755.03,765.42,769.90,-50.78,-968.75,351.07,1.52,0.89,-1.42,-391.44
447,784.88,774.09,755.03,765.38,769.84,-22.46,-961.43,327.15,4.82,1.57,-0.97,-387.23
483,784.93,773.77,754.96,765.20,769.71,-45.41,-957.52,341.80,2.28,3.23,-1.08,-382.12
518,784.41,773.24,754.92,764.88,769.36,-66.89,-953.12,348.63,1.69,0.47,-0.05,-369.31
554,783.83,772.95,754.81,764.57,769.04,-44.92,-947.75,349.12,-0.66,0.93,-2.30,-362.76
589,783.43,772.75,754.73,764.37,768.82,-45.90,-949.22,338.38,-2.60,1.91,-1.39,-358.38
625,782.93,772.50,754.67,764.24,768.58,-60.55,-965.82,360.35,-0.24,0.00,-1.26,-353.83
660,782.14,772.30,754.64,764.12,768.30,-45.90,-961.43,343.75,-1.24,2.24,-2.03,-349.26
696,781.30,772.22,754.56,764.07,768.04,-42.48,-953.12,357.42,-0.59,0.84,-0.72,-347.71
731,780.61,772.23,754.55,764.03,767.85,-45.90,-967.77,341.31,-0.78,1.56,-1.49,-346.10
766,780.32,772.34,754.58,764.09,767.83,-40.53,-957.03,339.84,0.99,-0.13,-0.40,-346.31
802,780.18,772.20,754.60,764.14,767.78,-37.11,-957.52,338.38,-0.91,1.96,0.37,-345.95
837,780.00,772.21,754.66,764.10,767.74,-45.90,-960.94,343.26,2.46,0.33,-0.61,-344.48
873,779.95,772.35,754.65,764.17,767.78,-47.85,-953.61,342.77,-0.02,-0.78,-1.50,-345.82
908,779.70,772.41,754.58,764.25,767.73,-36.62,-962.40,341.80,-1.60,3.41,-0.88,-347.36
948,780.06,772.46,754.65,764.39,767.89,-43.95,-962.40,349.61,1.89,1.84,-1.41,-349.32
983,780.59,772.62,754.69,764.39,768.08,-48.34,-947.27,358.40,0.23,1.34,-0.95,-350.40
1019,781.34,772.82,754.66,764.45,768.32,-70.31,-958.01,348.14,1.98,-0.43,-0.76,-355.15
1055,781.93,772.87,754.63,764.43,768.46,-53.22,-963.38,362.30,0.85,1.40,0.40,-357.74
1091,782.31,772.86,754.59,764.39,768.54,-44.43,-957.03,333.01,-0.85,-0.97,-1.82,-359.14
1126,782.94,772.84,754.63,764.47,768.72,-48.34,-959.47,346.68,2.85,-0.56,-1.08,-360.92
1162,784.34,772.98,754.67,764.36,769.08,-39.55,-957.03,356.93,2.18,-2.87,2.28,-362.81
1197,785.97,772.88,754.58,764.28,769.43,-46.39,-960.94,347.17,1.82,1.32,0.23,-364.11
1233,787.39,772.60,754.53,764.06,769.64,-47.36,-942.38,359.86,2.04,-0.79,-0.69,-360.98
1268,788.37,772.32,754.43,763.72,769.71,-125.49,-946.29,324.22,0.19,2.00,0.22,-356.36
1304,788.81,771.79,754.33,763.42,769.59,-41.50,-971.19,356.93,-0.56,1.18,0.24,-349.73
1339,788.80,771.25,754.23,763.15,769.36,-36.13,-954.10,362.79,-1.23,-0.72,-1.84,-346.52
1375,788.69,770.95,754.19,763.13,769.24,-77.15,-965.33,375.00,1.27,1.51,-1.11,-347.57
1410,788.94,770.85,754.23,763.20,769.30,-56.15,-943.36,321.78,3.10,-8.44,-0.32,-347.68
1445,788.84,770.63,754.24,763.22,769.23,16.60,-888.18,365.72,-3.00,7.43,11.34,-347.99
1481,789.05,770.39,754.20,763.02,769.16,-58.59,-946.29,372.07,0.06,3.19,-2.17,-347.25
1516,789.01,770.11,754.15,762.88,769.04,-54.20,-957.52,360.84,1.89,2.76,-1.17,-347.76
1551,789.19,769.90,754.14,762.66,768.97,-56.64,-947.75,346.19,0.18,-0.50,-1.88,-346.01
1586,789.89,769.64,753.98,762.41,768.98,-47.36,-949.71,362.79,0.61,-1.88,-2.05,-347.18
1621,790.43,769.49,754.06,762.23,769.06,-54.20,-950.20,356.45,-1.85,-2.93,-2.13,-343.58
1657,790.64,769.47,753.95,762.08,769.04,-52.73,-949.22,357.42,0.27,1.50,-0.34,-343.13
1696,791.22,769.40,753.88,761.98,769.12,-48.83,-954.59,364.75,-0.82,-3.78,0.24,-344.43
1731,791.52,769.17,753.83,761.76,769.07,-53.71,-946.78,363.77,-0.23,-3.22,-0.05,-342.80
1766,792.18,769.08,753.79,761.54,769.15,-50.29,-956.05,356.93,0.05,-1.11,-0.81,-341.19
1801,792.91,768.73,753.79,761.26,769.17,-60.06,-962.89,347.66,0.41,1.29,-1.27,-337.59
1836,793.75,768.17,753.55,760.66,769.03,-47.36,-951.17,350.10,-1.50,-0.15,-0.20,-326.78
1872,794.57,767.55,753.30,759.99,768.85,-41.50,-952.15,372.56,-2.06,-1.89,2.00,-306.77
1907,795.44,767.21,753.24,759.22,768.78,-51.76,-957.03,368.65,-5.44,1.78,0.58,-291.48
1948,796.28,767.19,753.10,758.89,768.86,-49.32,-954.59,327.15,-3.73,-0.58,1.46,-292.97
1983,796.48,767.68,753.11,758.93,769.05,-48.34,-951.66,331.54,-2.06,-2.52,-1.96,-299.95
2019,796.73,767.87,753.15,759.10,769.21,-50.78,-949.22,351.07,-1.67,-0.66,-1.32,-309.60
2054,796.85,768.25,753.24,759.35,769.42,-51.27,-958.50,342.29,-0.95,-1.15,-0.09,-325.04
2090,796.85,768.64,753.25,759.48,769.56,-42.97,-950.20,339.84,0.50,0.40,-3.01,-331.65
2125,796.83,768.92,753.35,759.70,769.70,-58.59,-955.57,350.10,-0.71,2.73,0.15,-332.04
2161,796.55,769.07,753.30,759.83,769.69,-52.73,-955.57,337.40,0.47,-1.32,-0.35,-333.84
2196,796.41,769.33,753.44,760.13,769.83,-55.18,-955.08,337.40,-0.84,-0.48,-0.21,-333.64
2232,796.28,769.68,753.46,760.46,769.97,-50.78,-962.89,346.68,0.98,-1.42,-2.56,-335.65
2267,796.01,770.10,753.60,760.71,770.10,-58.11,-960.94,335.45,0.86,0.62,-0.95,-332.68
2303,795.66,770.56,753.81,761.06,770.27,-48.83,-953.61,339.84,-0.63,-2.16,-0.40,-332.96
2338,794.80,771.12,753.89,761.62,770.36,-46.39,-947.75,343.26,-1.02,3.14,-1.97,-338.20
2373,794.06,771.93,754.08,761.99,770.52,-39.06,-965.82,329.10,-2.22,0.99,-2.53,-347.82
2409,793.09,772.58,754.08,762.45,770.55,-41.99,-946.78,346.19,-1.21,0.92,-1.36,-354.56
2444,791.73,773.38,754.21,762.80,770.53,-54.69,-962.40,333.01,-1.76,0.24,-0.78,-363.26
2480,790.25,773.96,754.31,763.08,770.40,-54.20,-967.29,350.59,-0.34,-1.09,-1.40,-370.73
2515,789.05,774.29,754.44,763.35,770.28,-52.73,-960.45,340.82,-1.01,0.82,-0.39,-376.07
2550,787.69,774.58,754.47,763.63,770.09,-53.22,-958.01,333.98,-0.97,-0.39,-2.77,-380.04
2586,786.51,774.73,754.58,763.80,769.91,-51.76,-963.87,339.36,-0.85,-1.79,-1.50,-382.57
