currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,769.09,762.77,752.26,760.42,761.13,129.88,-933.59,390.14,1.34,1.91,0.53,-96.81
63,769.00,762.78,752.29,760.44,761.13,137.70,-923.83,383.30,-1.67,1.66,1.19,-96.26
101,768.96,762.78,752.29,760.45,761.12,126.46,-932.13,387.21,1.40,1.81,2.19,-96.15
141,768.98,762.71,752.28,760.43,761.10,129.88,-938.96,391.60,1.36,2.32,-1.52,-96.01
179,769.03,762.73,752.30,760.42,761.12,132.32,-925.78,390.62,-1.25,1.47,0.28,-95.80
217,769.00,762.76,752.28,760.36,761.10,123.54,-935.06,373.05,-0.22,0.93,3.41,-94.60
257,769.07,762.70,752.26,760.37,761.10,143.07,-918.46,396.48,0.17,-1.02,-2.12,-95.49
295,768.99,762.75,752.31,760.38,761.11,125.49,-944.82,382.32,1.08,2.29,-0.13,-94.39
334,768.92,762.82,752.27,760.48,761.12,128.42,-937.50,385.25,1.24,2.12,-0.44,-97.18
372,768.94,762.73,752.33,760.49,761.12,127.93,-927.73,388.18,1.50,-0.08,0.91,-96.20
410,768.78,762.76,752.34,760.56,761.11,130.86,-932.62,389.16,0.17,2.00,1.44,-96.80
448,768.87,762.84,752.36,760.53,761.15,119.14,-939.45,389.65,-1.18,-1.08,0.65,-96.48
489,768.77,762.89,752.34,760.53,761.13,128.42,-919.43,386.23,1.16,2.18,-1.04,-96.49
527,768.65,762.91,752.35,760.61,761.13,125.49,-934.57,381.35,-0.43,2.14,-1.61,-97.65
565,768.69,762.98,752.40,760.60,761.17,124.51,-920.41,365.72,1.30,0.18,-0.31,-96.73
603,768.66,763.01,752.37,760.59,761.16,129.88,-931.64,382.81,0.53,0.32,0.81,-97.08
641,768.66,762.96,752.35,760.57,761.13,126.46,-928.71,388.67,-1.31,3.99,3.20,-96.82
680,768.70,762.94,752.37,760.60,761.15,130.37,-918.95,386.23,-0.12,4.57,-1.48,-97.26
720,768.68,762.97,752.36,760.57,761.14,142.09,-926.76,396.48,0.81,-0.81,1.92,-96.84
759,768.66,762.92,752.33,760.56,761.12,125.00,-931.64,381.84,1.99,2.54,0.92,-96.80
797,768.71,762.98,752.29,760.62,761.15,119.63,-944.34,386.72,-0.84,2.44,-0.18,-99.46
835,768.66,763.04,752.35,760.56,761.16,118.16,-937.99,388.18,0.95,2.07,-0.40,-96.77
875,768.68,762.96,752.34,760.58,761.14,130.86,-926.27,395.02,-0.24,4.46,-1.41,-97.36
915,768.71,762.96,752.32,760.62,761.15,134.28,-940.92,382.32,-0.53,1.28,2.33,-98.75
955,768.66,763.05,752.34,760.54,761.15,126.46,-926.27,396.48,-0.02,-1.16,-0.33,-96.76
993,768.64,763.00,752.33,760.59,761.14,135.74,-932.62,408.20,0.37,0.96,0.54,-97.62
1030,768.55,763.05,752.44,760.58,761.15,123.54,-932.62,393.55,0.93,1.47,-0.56,-95.46
1069,768.61,762.94,752.35,760.53,761.11,136.23,-925.29,390.62,-1.15,2.50,1.33,-95.65
1106,768.60,763.00,752.29,760.56,761.11,118.65,-932.62,385.25,1.47,0.62,0.75,-97.46
1144,768.66,762.91,752.36,760.61,761.14,131.84,-933.11,404.30,0.97,-0.84,0.34,-97.38
1186,768.62,762.97,752.37,760.54,761.13,126.46,-933.11,398.44,0.82,2.65,0.36,-95.80
1224,768.52,762.95,752.34,760.61,761.11,146.97,-926.27,386.72,-0.14,1.09,1.56,-97.15
1262,768.62,762.93,752.33,760.61,761.12,126.95,-922.36,395.02,3.23,3.01,-0.40,-97.67
1300,768.66,762.99,752.33,760.60,761.14,128.91,-932.62,387.21,0.00,1.40,1.07,-97.87
