currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,784.09,774.43,755.11,764.96,769.65,-29.30,-963.38,356.45,-0.04,-0.71,-1.00,-385.73
61,784.06,774.45,755.13,764.97,769.65,-39.06,-954.10,349.61,-0.95,1.02,0.10,-385.88
97,784.17,774.38,755.15,764.92,769.65,-38.09,-961.91,351.56,-1.94,2.54,-2.92,-384.99
132,784.17,774.44,755.12,765.01,769.69,-44.43,-961.91,348.14,-1.24,-0.66,-2.11,-386.54
168,784.18,774.54,755.14,765.03,769.72,-42.48,-955.08,354.00,-1.99,2.69,-0.53,-387.80
204,784.13,774.57,755.19,765.09,769.75,-43.46,-940.43,350.10,0.98,1.31,0.47,-388.55
240,784.06,774.59,755.11,765.11,769.72,-47.85,-953.12,334.96,-0.51,1.52,-1.47,-388.76
276,783.99,774.69,755.18,765.20,769.77,-53.22,-966.31,355.47,-2.32,-1.42,-1.53,-390.38
312,783.90,774.77,755.21,765.26,769.78,-47.36,-951.17,343.75,-1.65,-1.37,-0.68,-391.48
348,783.74,774.86,755.21,765.27,769.77,-39.06,-956.54,354.49,-0.25,-1.89,0.66,-392.28
384,783.65,774.91,755.24,765.31,769.78,-46.88,-960.45,359.86,-0.24,0.65,-0.89,-392.92
420,783.58,774.89,755.27,765.29,769.76,-47.36,-946.29,354.49,0.05,2.62,-1.65,-392.25
456,783.54,774.90,755.30,765.35,769.78,-48.83,-960.94,351.56,-0.37,-1.81,-1.60,-392.75
492,783.57,775.03,755.26,765.38,769.81,-39.55,-967.77,348.14,-0.24,-0.63,1.34,-394.72
528,783.57,774.97,755.31,765.37,769.81,-51.27,-955.57,354.00,0.24,0.44,0.30,-393.77
564,783.44,774.98,755.24,765.42,769.77,-37.11,-960.45,346.19,-0.95,-0.11,-2.57,-394.06
600,783.45,774.85,755.32,765.42,769.76,-41.02,-964.84,342.29,2.26,-0.81,0.16,-392.22
636,783.55,774.89,755.30,765.41,769.79,-33.69,-955.08,350.10,0.20,-0.44,-0.51,-392.95
672,783.54,774.84,755.31,765.48,769.79,-47.36,-953.12,358.89,0.47,4.29,-0.52,-392.83
708,783.48,774.90,755.29,765.49,769.79,-59.57,-955.57,347.66,-1.11,-1.74,0.06,-393.51
743,783.38,774.93,755.28,765.48,769.77,-41.50,-958.01,360.35,0.25,0.60,-0.50,-393.52
780,783.45,775.05,755.31,765.43,769.81,-39.06,-958.98,345.21,-0.37,0.96,-1.73,-395.11
816,783.48,775.01,755.29,765.49,769.82,-41.99,-965.33,336.91,-1.06,-0.27,-1.17,-395.14
852,783.51,775.02,755.26,765.49,769.82,-38.57,-951.17,356.45,-0.32,0.33,1.05,-395.27
888,783.50,774.96,755.32,765.52,769.83,-46.39,-962.89,348.63,0.53,-0.85,-2.61,-394.66
924,783.53,774.95,755.36,765.47,769.83,-45.90,-953.61,354.98,0.34,1.59,0.24,-394.07
965,783.63,774.97,755.27,765.37,769.81,-47.36,-961.43,349.12,-1.06,-1.23,1.27,-394.11
1004,783.68,775.01,755.25,765.43,769.84,-36.62,-961.43,349.12,-1.21,-0.86,-0.18,-395.25
1043,783.68,775.11,755.27,765.49,769.88,-46.39,-961.43,355.47,0.85,1.93,-1.07,-397.12
1081,783.53,775.12,755.27,765.53,769.86,-43.46,-945.80,351.56,0.44,-0.84,-0.81,-397.12
1120,783.30,775.13,755.32,765.52,769.82,-61.04,-955.57,354.00,-0.48,1.53,0.79,-396.33
1157,783.27,775.19,755.33,765.58,769.84,-48.34,-955.57,355.96,-0.18,1.34,-0.29,-397.56
1194,783.14,775.19,755.38,765.56,769.82,-48.83,-963.38,350.59,-2.75,0.90,0.61,-396.92
1230,783.07,775.30,755.37,765.65,769.85,-54.69,-955.08,362.30,0.73,-1.54,-2.72,-399.08
1266,782.95,775.24,755.35,765.67,769.80,-41.02,-956.54,356.93,-0.07,-0.42,-0.69,-397.98
