currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,833.04,758.80,754.03,764.58,777.61,146.48,-928.71,433.59,0.50,2.69,-0.38,-385.78
63,832.96,758.84,754.01,764.70,777.63,160.64,-926.27,431.64,2.32,1.68,-0.23,-386.08
102,832.88,758.85,754.03,764.59,777.59,144.53,-913.09,421.39,1.90,1.21,-0.58,-385.59
140,832.96,758.90,754.05,764.65,777.64,147.95,-913.09,445.80,1.20,2.14,0.58,-387.01
178,833.00,758.87,753.98,764.58,777.61,148.44,-906.25,412.60,0.82,0.64,1.16,-385.31
216,832.98,758.86,754.07,764.66,777.64,155.27,-900.39,427.25,-0.25,2.17,-1.05,-387.11
256,833.15,758.76,754.05,764.49,777.61,151.86,-924.80,438.96,0.97,1.78,-0.59,-385.38
294,833.25,758.73,753.94,764.49,777.60,136.72,-914.06,435.06,0.40,-0.42,-3.58,-384.05
332,833.39,758.75,754.00,764.40,777.63,140.62,-911.13,427.25,0.99,0.75,-0.16,-384.75
370,833.62,758.67,754.03,764.34,777.67,149.41,-918.46,423.34,-0.69,1.28,0.03,-385.17
408,833.83,758.68,753.89,764.30,777.68,146.00,-917.97,432.62,0.19,2.21,0.43,-383.89
446,834.16,758.56,753.91,764.19,777.71,139.16,-909.18,431.15,1.58,-1.44,-0.14,-383.83
487,834.32,758.55,753.92,764.08,777.71,154.79,-907.71,420.41,-2.26,1.11,-1.15,-383.68
525,834.44,758.47,753.78,764.08,777.69,160.16,-916.50,429.20,0.60,-2.51,1.05,-381.49
563,834.64,758.42,753.82,764.05,777.73,144.53,-916.50,428.22,0.41,1.58,-0.29,-382.51
601,834.54,758.43,753.81,764.06,777.71,155.76,-913.57,432.62,-0.97,1.47,0.18,-382.11
638,834.33,758.53,753.85,764.11,777.70,149.41,-907.23,419.43,-1.87,-0.29,-1.40,-382.75
676,834.33,758.49,753.79,764.18,777.70,151.86,-903.32,425.29,0.60,2.21,-0.71,-382.20
716,834.13,758.52,753.82,764.27,777.69,153.81,-919.43,436.04,-0.76,0.71,1.28,-382.68
755,833.85,758.58,753.86,764.38,777.67,141.11,-921.39,429.69,1.94,2.45,0.45,-383.39
793,833.65,758.60,753.92,764.45,777.65,149.90,-900.88,426.76,-0.02,1.09,2.70,-384.10
831,833.64,758.64,753.98,764.51,777.69,145.02,-911.13,418.46,-1.26,1.46,0.15,-385.86
869,833.55,758.62,753.96,764.59,777.68,157.71,-914.55,434.08,0.97,-2.34,1.54,-385.66
912,833.37,758.68,753.95,764.53,777.63,158.20,-916.99,430.66,-0.45,2.24,0.31,-384.53
952,833.26,758.59,754.04,764.63,777.63,156.25,-909.67,436.52,0.24,-2.50,0.78,-385.37
991,833.17,758.74,753.97,764.60,777.62,146.48,-922.85,428.71,-1.11,-0.93,1.04,-385.17
1029,833.26,758.68,753.97,764.64,777.63,137.21,-904.30,428.71,0.33,1.88,-2.24,-385.20
1067,833.29,758.76,753.98,764.57,777.65,148.93,-926.27,440.92,0.69,0.18,0.25,-385.66
1105,833.10,758.71,753.96,764.64,777.60,147.46,-917.48,430.66,0.31,-0.08,1.21,-384.74
1143,833.02,758.76,753.97,764.67,777.60,161.62,-916.02,421.87,-1.22,-0.31,-0.13,-384.91
1183,833.04,758.73,753.99,764.64,777.60,156.25,-918.95,426.76,2.35,1.14,1.58,-385.05
1221,833.01,758.77,753.98,764.60,777.59,152.83,-925.78,415.53,-0.69,0.43,-1.89,-384.82
1259,832.90,758.74,753.99,764.61,777.56,149.41,-919.92,427.73,0.11,1.25,2.79,-384.21
1298,832.95,758.76,753.90,764.52,777.53,144.53,-922.36,424.32,-0.61,2.08,0.15,-382.54
1335,832.95,758.79,753.92,764.48,777.53,146.48,-916.02,427.25,0.81,1.05,0.15,-382.64
1376,832.80,758.76,753.93,764.40,777.47,148.44,-926.27,428.71,-2.04,1.22,1.28,-381.14
1414,832.71,758.78,753.97,764.41,777.47,140.14,-916.02,431.15,-0.31,1.60,1.43,-381.49
1452,832.60,758.78,753.95,764.40,777.43,145.51,-904.79,428.71,-0.74,0.57,-0.05,-380.68
1490,832.41,758.76,753.91,764.38,777.37,144.53,-906.25,432.13,1.12,1.41,-0.24,-378.99
1528,832.22,758.79,753.92,764.42,777.34,149.90,-908.20,423.83,0.65,-1.98,1.18,-378.68
1566,832.06,758.67,753.92,764.31,777.24,146.00,-912.60,430.18,2.33,0.02,-0.29,-376.63
1606,831.65,758.79,753.87,764.34,777.16,154.79,-921.87,411.62,-0.05,2.16,0.72,-375.17
1644,831.36,758.86,753.95,764.54,777.18,149.41,-905.27,420.90,-1.25,2.18,0.58,-376.85
1682,831.17,758.82,753.95,764.56,777.13,147.46,-915.04,424.32,0.62,0.07,2.82,-376.00
1721,831.07,758.93,754.00,764.63,777.16,141.60,-912.11,422.36,-1.11,3.88,-0.66,-377.45
1759,830.94,759.01,754.05,764.71,777.18,146.48,-911.62,425.78,-0.15,3.34,-1.33,-378.84
1797,830.83,759.09,754.06,764.66,777.16,147.46,-905.76,432.13,0.54,1.73,2.37,-378.75
1843,830.83,759.29,754.05,764.79,777.24,149.41,-905.76,434.57,-2.43,2.11,2.15,-381.75
1881,830.97,759.48,754.02,764.69,777.29,148.44,-918.46,421.87,-2.21,1.79,2.24,-382.47
1919,830.95,759.68,753.97,764.77,777.34,132.81,-917.48,431.64,-0.13,-1.29,-1.53,-383.21
1958,830.82,759.90,753.95,764.70,777.34,161.62,-920.90,419.92,-0.50,-0.06,0.11,-383.56
1996,830.69,760.20,753.84,764.65,777.35,148.44,-906.74,416.50,-3.63,-1.18,-1.33,-383.65
2034,830.22,760.54,753.88,764.76,777.35,154.30,-916.99,403.81,-4.69,2.44,3.13,-386.01
2074,829.79,760.89,753.86,764.82,777.34,139.65,-918.46,415.53,-1.44,1.08,3.21,-387.52
2112,829.77,761.29,753.86,764.87,777.44,141.60,-918.95,412.11,-1.74,0.31,2.24,-391.48
2149,829.57,761.68,753.91,764.96,777.53,141.60,-922.36,419.92,-0.93,0.56,1.82,-395.53
2187,829.11,762.03,753.98,765.14,777.57,147.95,-923.83,402.83,-2.04,-0.71,-1.80,-398.19
2225,828.55,762.24,753.97,765.16,777.48,140.14,-913.57,420.90,-0.42,0.34,0.00,-398.28
2263,828.40,762.41,753.99,765.17,777.49,148.44,-915.53,416.50,0.25,1.16,-1.02,-399.80
2303,828.18,762.40,754.01,765.07,777.41,143.07,-928.71,416.99,1.33,1.69,-0.10,-397.71
2341,828.29,762.36,753.94,764.96,777.39,139.16,-915.53,401.86,-2.18,2.14,1.00,-396.39
2379,828.17,762.28,753.88,764.96,777.32,151.37,-916.50,409.18,-1.88,-0.15,0.30,-395.42
2417,827.81,762.30,753.86,764.90,777.22,132.81,-919.43,410.16,0.73,0.37,0.43,-394.19
2455,827.67,762.23,753.86,764.80,777.14,142.58,-923.83,408.69,-1.29,3.19,-1.00,-392.88
2493,827.63,762.24,753.80,764.84,777.13,145.51,-909.67,416.50,-0.06,0.60,-0.40,-392.78
2533,827.40,762.26,753.72,764.86,777.06,141.60,-922.36,409.18,0.31,0.22,1.55,-392.37
2571,827.38,762.22,753.78,764.76,777.04,146.00,-918.46,404.79,1.32,1.28,-0.33,-391.53
2609,827.10,762.13,753.77,764.83,776.96,137.70,-914.06,401.37,1.39,1.51,1.26,-390.45
2647,826.98,762.12,753.81,764.81,776.93,134.77,-915.53,412.60,0.03,0.83,-0.39,-390.02
2685,826.87,762.15,753.81,764.76,776.90,143.07,-915.53,404.30,-2.00,0.37,0.95,-389.68
2723,826.71,762.08,753.81,764.88,776.87,145.51,-923.83,405.76,1.23,0.31,0.85,-389.46
2770,826.41,761.97,753.78,764.82,776.75,137.21,-927.25,404.79,-0.85,0.42,2.20,-386.85
2811,826.22,762.05,753.81,764.72,776.70,150.39,-909.67,410.64,1.42,4.41,-1.03,-386.20
2849,826.28,762.09,753.82,764.72,776.73,153.32,-928.22,418.46,-0.15,-0.18,2.76,-386.75
2887,826.36,761.98,753.87,764.68,776.72,144.04,-919.43,404.30,-0.59,2.02,1.01,-385.50
2925,826.27,762.02,753.78,764.63,776.67,145.51,-923.83,413.09,-0.46,1.80,-0.93,-385.04
2965,826.23,762.09,753.76,764.71,776.70,156.74,-913.09,408.69,-0.67,1.78,0.65,-386.58
3010,826.04,762.13,753.83,764.68,776.67,150.39,-916.02,405.27,-1.20,0.49,1.79,-385.99
3048,826.03,762.12,753.78,764.76,776.67,150.39,-920.41,409.18,2.55,-0.41,2.46,-386.84
3086,825.69,762.07,753.75,764.82,776.58,145.51,-931.64,414.55,-0.90,3.30,2.42,-385.36
3124,825.32,762.18,753.88,764.89,776.57,137.21,-909.18,403.81,0.44,1.09,3.48,-386.29
3162,824.93,762.25,753.88,764.93,776.50,129.88,-930.66,414.06,1.68,2.88,1.82,-386.16
3202,824.42,762.19,753.91,765.03,776.39,144.53,-933.11,415.53,0.68,2.77,-0.08,-384.75
3240,824.09,762.22,753.91,764.98,776.30,145.51,-921.39,436.04,0.47,1.23,-1.21,-383.42
3278,823.99,762.27,753.90,765.12,776.32,140.14,-916.99,422.85,1.82,3.35,-0.26,-385.13
3316,823.65,762.26,753.91,765.03,776.21,142.58,-911.13,404.30,2.47,0.92,1.05,-383.01
3354,823.43,762.22,753.89,765.00,776.13,149.90,-927.25,412.60,1.30,0.92,0.63,-381.64
3392,823.00,762.31,753.89,764.95,776.04,142.09,-914.55,415.53,-0.66,2.24,0.16,-381.04
3432,822.65,762.25,753.90,765.02,775.95,138.18,-916.02,423.34,0.09,0.37,-0.80,-380.04
3470,822.42,762.25,753.90,765.04,775.90,148.44,-924.32,410.64,0.08,0.49,3.96,-379.29
3508,822.31,762.25,753.89,765.05,775.88,147.46,-942.38,405.76,-0.31,-0.21,-1.21,-378.99
3546,822.08,762.19,753.91,765.01,775.80,148.93,-918.46,406.74,0.44,0.24,0.59,-377.27
3584,822.10,762.25,753.84,764.91,775.78,141.11,-920.41,426.27,-0.78,1.82,0.76,-376.78
3621,822.09,762.15,753.89,764.86,775.75,134.77,-929.20,412.60,-0.89,-0.47,-0.16,-375.62
3667,822.20,762.19,753.81,764.92,775.78,138.18,-926.27,412.11,2.24,-0.79,0.47,-376.33
3706,822.18,762.07,753.80,764.73,775.69,148.93,-932.13,410.16,0.53,2.79,0.28,-373.77
3743,822.14,762.12,753.78,764.64,775.67,137.21,-921.39,410.64,-1.33,1.61,0.97,-373.08
3782,821.95,762.06,753.74,764.53,775.57,140.62,-909.18,411.13,-0.18,3.41,0.82,-370.16
3820,821.94,762.07,753.78,764.51,775.58,141.11,-908.20,412.60,1.08,1.49,-1.73,-370.35
3858,821.86,762.08,753.69,764.52,775.54,152.83,-931.15,401.86,0.86,-0.56,0.89,-368.24
3898,821.85,762.02,753.63,764.47,775.49,129.88,-915.04,411.62,-0.20,2.31,-0.05,-364.76
3936,821.77,762.09,753.65,764.42,775.48,124.02,-911.13,412.11,-1.07,1.89,0.21,-366.38
3974,821.52,762.02,753.71,764.45,775.42,146.48,-921.39,385.25,2.12,1.29,-0.12,-366.11
4012,821.50,762.07,753.66,764.52,775.44,139.16,-912.60,402.34,1.73,3.30,-1.26,-364.48
4050,821.44,762.11,753.65,764.44,775.41,149.41,-915.53,405.27,-2.75,0.14,0.18,-364.44
