currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
24,761.40,764.80,749.91,752.25,757.09,-74.22,-1005.37,177.73,-0.20,0.69,-0.35,-57.34
59,761.46,764.70,749.91,752.24,757.08,-70.31,-1000.00,183.59,-0.60,-0.79,-0.05,-55.96
94,761.54,764.71,749.88,752.19,757.08,-79.10,-992.68,175.29,0.18,1.19,-1.12,-57.13
128,761.45,764.74,749.92,752.26,757.09,-64.94,-997.07,171.39,-0.98,-0.13,-4.13,-56.30
163,761.47,764.76,749.88,752.22,757.08,-64.94,-1008.30,192.87,1.04,2.39,0.15,-57.46
198,761.50,764.78,749.83,752.15,757.07,-65.92,-996.09,191.89,0.79,-1.50,1.21,-58.75
233,761.51,764.67,749.89,752.27,757.09,-80.08,-991.21,191.89,0.05,-2.40,0.85,-55.65
269,761.53,764.65,749.91,752.22,757.08,-73.73,-999.51,180.18,1.40,-1.30,0.15,-55.66
304,761.57,764.60,749.89,752.21,757.07,-68.36,-998.05,184.08,1.58,-2.91,-2.08,-55.28
339,761.66,764.47,749.95,752.21,757.07,-72.75,-1003.91,196.78,-2.21,0.27,0.08,-51.93
374,761.68,764.51,749.87,752.27,757.08,-59.08,-992.68,188.96,-0.39,-1.60,0.46,-53.86
410,761.71,764.51,749.84,752.17,757.06,-75.68,-1014.16,185.55,0.88,-0.27,0.77,-55.02
445,761.74,764.43,749.85,752.19,757.05,-67.38,-994.63,190.92,-2.50,1.34,-1.05,-53.48
480,761.68,764.48,749.88,752.18,757.06,-69.34,-1010.74,187.50,1.39,0.82,0.27,-53.97
515,761.79,764.46,749.88,752.18,757.08,-64.94,-1003.91,189.94,-0.36,0.97,-2.04,-53.87
551,761.76,764.48,749.90,752.15,757.07,-69.82,-1011.23,193.85,-0.82,1.72,-0.06,-53.75
586,761.89,764.49,749.88,752.14,757.10,-76.66,-990.72,174.80,-0.69,1.37,-1.66,-54.95
621,761.80,764.45,749.91,752.13,757.07,-69.82,-1008.79,196.29,0.11,2.53,-2.04,-52.94
656,761.79,764.54,749.92,752.22,757.12,-70.80,-992.68,188.48,0.84,2.39,1.40,-54.71
