currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,768.05,785.67,752.85,757.36,765.98,-44.43,-973.14,318.36,0.71,2.15,-0.85,-529.14
61,768.09,785.59,752.89,757.36,765.98,-36.13,-963.38,305.18,-0.66,1.24,-0.09,-526.57
97,768.03,785.57,752.83,757.41,765.96,-34.18,-976.56,302.25,0.55,-1.11,-0.02,-528.28
132,768.03,785.64,752.95,757.41,766.01,-46.88,-978.03,295.41,0.24,1.46,-0.02,-525.74
168,768.04,785.59,752.85,757.43,765.98,-43.46,-974.12,295.90,0.56,-1.94,2.41,-527.80
204,767.87,785.44,752.89,757.47,765.92,-44.92,-970.21,303.71,-0.08,-3.02,-0.81,-523.91
240,767.71,785.48,752.88,757.52,765.90,-30.76,-974.12,296.87,-2.70,0.04,-0.98,-524.72
276,767.80,785.53,752.91,757.63,765.97,-48.34,-980.47,297.36,1.30,-1.39,1.21,-523.94
312,767.88,785.58,752.95,757.63,766.01,-24.41,-971.68,309.08,-1.99,0.76,-0.38,-523.60
348,767.84,785.37,752.85,757.59,765.92,-42.48,-972.17,303.22,0.44,0.89,0.21,-523.92
384,767.87,785.29,752.93,757.43,765.88,-40.04,-968.75,309.08,-1.31,-0.56,1.08,-520.74
420,768.12,785.18,752.85,757.39,765.89,-37.11,-955.08,301.76,-1.15,-1.20,-0.80,-522.00
456,768.29,785.14,752.82,757.32,765.89,-40.04,-964.84,306.15,-1.65,1.98,0.19,-522.59
492,768.32,785.22,752.82,757.32,765.92,-29.30,-980.96,306.15,-1.34,-0.13,-0.79,-523.64
528,768.36,785.23,752.81,757.36,765.94,-36.62,-971.68,298.34,2.42,0.50,0.50,-523.83
564,768.27,785.28,752.76,757.33,765.91,-30.76,-966.80,302.73,-0.05,0.47,0.34,-526.20
600,768.25,785.20,752.84,757.28,765.89,-34.18,-970.21,301.27,-0.24,0.21,-1.73,-522.94
636,768.23,785.24,752.82,757.33,765.91,-34.67,-976.56,300.78,-0.22,-0.05,-1.34,-523.72
672,768.37,785.32,752.82,757.26,765.94,-39.55,-980.96,302.73,-1.95,-0.11,-1.71,-525.56
708,768.35,785.20,752.88,757.33,765.94,-39.55,-972.66,295.41,-0.75,0.87,0.24,-521.32
744,768.40,785.27,752.80,757.32,765.95,-30.27,-976.07,300.78,-0.71,-1.54,0.47,-525.15
780,768.33,785.26,752.80,757.32,765.92,-30.76,-981.93,304.69,-0.62,0.74,-1.11,-524.96
816,768.25,785.34,752.77,757.38,765.94,-43.46,-954.10,300.29,-0.29,4.71,0.56,-526.58
852,768.17,785.49,752.90,757.44,766.00,-52.73,-969.24,302.73,-1.40,0.69,-0.12,-524.43
888,768.11,785.62,752.81,757.45,766.00,-30.76,-974.61,306.15,-0.21,-0.96,0.01,-529.45
924,768.09,785.64,752.96,757.50,766.05,-44.92,-979.00,298.34,1.79,-0.81,-0.49,-524.82
964,767.88,785.73,752.90,757.58,766.02,-38.57,-979.00,310.06,-0.68,0.47,-0.86,-527.59
1000,767.90,785.74,752.86,757.56,766.02,-39.55,-968.26,298.34,-0.88,1.30,0.20,-529.17
1035,767.86,785.74,752.89,757.55,766.01,-38.09,-977.54,302.73,-1.27,-0.43,-1.74,-528.24
1071,767.80,785.73,752.94,757.59,766.02,-32.23,-973.14,289.06,-1.19,-0.57,0.50,-526.00
1107,767.81,785.70,752.82,757.50,765.96,-35.64,-975.59,297.36,1.11,-1.08,-0.41,-530.17
1143,767.79,785.74,752.86,757.55,765.99,-45.41,-967.77,302.73,-1.31,0.44,-2.43,-529.15
1179,767.85,785.66,752.93,757.62,766.02,-50.29,-975.10,297.36,-1.95,0.85,1.12,-525.29
1215,767.90,785.67,752.92,757.57,766.01,-32.23,-977.54,306.64,-0.53,0.49,-1.48,-526.06
1251,768.03,785.68,752.84,757.48,766.01,-40.53,-967.29,300.78,-2.18,1.47,-3.63,-529.36
1287,768.07,785.55,752.75,757.45,765.95,-40.53,-970.21,300.29,-1.79,-0.69,0.94,-530.00
1323,768.14,785.66,752.86,757.40,766.02,-35.64,-974.61,293.95,0.31,-1.00,-0.94,-528.46
1359,768.07,785.56,752.84,757.45,765.98,-25.88,-980.47,299.80,-0.69,-0.24,-0.76,-527.67
1395,768.14,785.64,752.86,757.40,766.01,-33.69,-979.49,302.25,-1.18,-3.18,-1.21,-528.48
1431,768.25,785.61,752.87,757.40,766.03,-27.34,-972.66,317.38,0.38,0.90,-1.41,-527.36
1467,768.12,785.81,752.89,757.47,766.07,-28.32,-976.07,315.43,-1.65,-0.11,0.75,-529.82
1503,768.09,785.72,752.80,757.45,766.02,-44.43,-973.14,304.20,0.31,0.12,-1.64,-531.20
1539,768.09,785.81,752.91,757.46,766.07,-43.95,-975.59,302.73,-2.91,0.32,-0.95,-529.16
1575,768.07,785.69,752.97,757.46,766.05,-20.02,-975.10,293.95,1.18,-4.41,0.44,-525.84
1610,768.10,785.67,752.91,757.48,766.04,-62.01,-1002.44,307.62,1.06,0.55,-0.54,-526.68
1646,768.09,785.65,752.86,757.41,766.00,-80.57,-977.05,287.11,0.63,0.53,-0.40,-528.27
1682,768.10,785.58,752.84,757.38,765.98,-50.78,-976.07,288.57,2.53,1.25,0.18,-528.03
1720,768.10,785.47,752.83,757.37,765.94,-49.80,-966.31,309.57,-1.37,-2.60,-1.06,-527.04
1755,768.13,785.33,752.76,757.30,765.88,-56.64,-978.03,294.43,1.02,0.62,-2.27,-527.19
1791,768.26,785.23,752.74,757.26,765.87,-59.57,-973.63,308.59,-1.54,1.05,-1.10,-526.29
1827,768.37,785.25,752.80,757.21,765.91,-49.32,-973.63,320.80,-2.19,-1.60,-0.27,-524.96
1863,768.28,785.20,752.75,757.23,765.86,-35.64,-972.17,304.69,-1.13,2.35,-1.38,-525.72
1898,768.19,785.41,752.78,757.21,765.90,-38.57,-976.07,302.73,-2.11,-0.38,-2.89,-528.23
1934,768.15,785.61,752.79,757.21,765.94,-38.57,-971.19,296.39,-0.65,1.71,0.88,-531.00
1977,768.09,785.78,752.82,757.35,766.01,-47.85,-972.66,287.11,-0.31,1.31,-2.15,-532.17
2015,767.83,786.02,752.74,757.45,766.01,-52.25,-981.93,301.27,-1.12,2.15,1.07,-537.32
2054,767.62,786.23,752.89,757.59,766.08,-33.69,-973.14,311.04,0.26,3.60,-1.10,-535.85
2091,767.31,786.62,752.97,757.68,766.15,-32.23,-966.80,305.66,-2.05,-1.10,-2.13,-538.68
2127,766.98,786.74,752.96,757.74,766.11,-16.60,-973.14,292.48,1.34,1.34,0.00,-540.36
2164,766.70,786.97,753.01,757.88,766.14,-37.11,-994.14,289.55,2.11,0.87,0.03,-541.41
2200,766.50,787.33,752.99,758.01,766.21,-32.23,-973.14,305.18,0.58,0.75,0.43,-546.95
2236,766.14,787.56,753.03,758.00,766.18,-38.09,-974.12,304.69,-0.06,1.25,-0.95,-549.33
2273,765.77,787.80,753.03,758.07,766.16,-32.71,-979.00,306.64,-1.89,3.73,0.85,-552.29
2309,765.67,788.13,753.03,758.07,766.23,-35.64,-978.52,293.95,-1.29,3.26,-0.76,-556.58
2345,765.22,788.24,753.07,758.14,766.17,213.87,-783.69,242.68,6.11,17.49,18.17,-556.63
2382,765.13,788.45,753.03,758.19,766.20,-91.31,-1038.57,278.81,-1.40,3.60,-1.18,-559.84
2418,764.58,788.76,753.12,758.25,766.18,-42.48,-959.96,317.38,-4.46,-5.82,-2.05,-561.54
2454,764.01,788.90,753.18,758.30,766.10,-55.66,-1001.95,275.39,0.89,-2.49,0.47,-562.42
2490,764.35,788.98,753.02,758.40,766.19,-41.99,-966.31,307.62,0.17,3.11,-1.12,-565.12
2526,764.22,789.23,753.10,758.34,766.22,-50.29,-979.98,295.41,-2.59,-1.00,0.34,-567.02
2562,764.33,789.21,753.16,758.22,766.23,-29.79,-970.21,299.80,-1.78,-1.29,0.73,-567.10
2598,764.39,789.09,753.11,758.25,766.21,-37.11,-980.96,306.15,-0.65,-1.85,0.21,-565.96
2634,764.36,789.28,753.13,758.11,766.22,-46.88,-983.89,300.29,0.53,-1.40,-1.69,-569.59
2671,764.23,789.18,753.09,758.19,766.17,-44.92,-975.59,294.92,-1.56,2.84,0.03,-567.97
2707,764.30,789.26,753.12,758.13,766.20,-54.69,-975.10,299.32,0.35,4.08,-0.24,-569.19
2743,764.21,789.17,753.09,758.12,766.15,-42.48,-986.33,284.18,-1.84,-0.55,-3.07,-568.69
2779,764.29,789.02,753.20,758.20,766.18,-32.23,-977.05,292.48,0.69,0.40,0.98,-564.44
2815,764.34,788.96,753.11,758.03,766.11,-41.02,-970.70,298.83,0.05,0.79,-0.26,-567.19
2852,764.45,788.77,753.07,758.04,766.08,-31.74,-975.59,290.04,0.66,-1.40,0.15,-565.02
2888,764.64,788.64,753.15,757.94,766.09,-34.67,-966.80,303.22,-0.46,0.28,-1.56,-563.73
2924,764.89,788.55,753.07,757.90,766.10,-46.39,-968.26,297.85,0.02,-1.54,-0.42,-563.69
2960,765.21,788.44,752.99,757.80,766.11,-39.06,-977.54,309.57,-1.25,-0.22,-1.54,-564.47
3001,765.51,788.45,752.99,757.76,766.18,-38.09,-968.26,316.41,-1.21,-0.65,-0.38,-564.76
3037,765.79,788.89,753.05,757.92,766.41,-44.43,-979.98,304.69,0.11,-0.93,-2.24,-567.03
3072,765.88,789.17,753.11,758.09,766.56,-42.48,-957.52,315.92,0.23,-1.20,0.11,-567.65
3108,766.23,790.13,753.14,758.25,766.94,-42.97,-979.98,309.08,1.73,0.98,-1.64,-578.05
3147,766.72,791.22,753.14,758.53,767.40,-41.50,-977.54,301.76,0.85,-0.75,0.38,-588.22
