currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,774.16,765.12,754.61,762.56,764.11,132.32,-920.90,405.76,-0.85,0.20,1.46,-253.43
64,773.30,765.09,754.66,762.53,763.89,114.75,-924.80,399.41,0.66,-0.29,-0.12,-251.42
102,772.56,765.17,754.57,762.55,763.71,130.86,-920.41,398.44,-2.13,1.08,1.40,-249.27
140,772.16,765.28,754.64,762.54,763.65,136.72,-930.66,400.88,-1.68,2.23,-1.04,-250.26
178,771.75,765.26,754.51,762.44,763.49,131.35,-933.59,402.83,-1.19,0.35,0.39,-247.38
216,771.39,765.35,754.56,762.34,763.41,122.56,-924.80,393.07,0.14,0.50,1.18,-247.48
256,770.80,765.36,754.46,762.40,763.26,131.84,-918.95,390.62,-2.15,-0.44,-1.38,-245.36
294,770.13,765.42,754.51,762.30,763.09,138.67,-930.66,374.02,-0.54,1.66,-0.04,-244.82
332,769.66,765.43,754.57,762.40,763.02,127.44,-914.06,396.97,-1.66,3.08,0.74,-244.58
370,769.15,765.40,754.58,762.50,762.91,129.88,-936.52,385.74,0.71,1.56,0.01,-241.17
408,768.53,765.39,754.58,762.54,762.76,132.81,-924.32,391.60,-0.37,-0.81,0.62,-237.15
445,768.08,765.37,754.57,762.53,762.63,135.25,-940.43,393.07,0.65,-0.53,2.11,-233.58
487,767.69,765.21,754.60,762.56,762.51,109.86,-919.43,400.39,0.78,3.20,-0.15,-228.42
525,767.26,765.15,754.65,762.57,762.41,135.25,-922.36,391.11,1.70,-0.24,-0.34,-224.08
563,767.01,765.11,754.59,762.51,762.31,131.84,-927.25,381.84,-1.69,2.15,0.85,-221.50
601,766.96,765.03,754.48,762.33,762.20,146.00,-926.76,383.79,-1.14,1.65,-2.28,-218.90
640,767.05,764.99,754.45,762.19,762.17,130.37,-938.96,399.90,0.10,2.63,0.50,-218.11
678,767.30,764.88,754.33,762.14,762.16,129.88,-942.38,377.44,-0.38,2.44,-2.34,-217.95
