Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.57975,-0.115621,37.3906,-78.4215,-65.3724,-140.79,1.72086,-2.11087,0,0,0,0,0,0,0,-515,0,0
2,0,0.4708,-0.168452,40.5064,-28.6346,-62.7191,-175.494,1.53232,-0.757181,0,0,0,0,0,0,0,-515,0,0
3,0,0.488327,-0.233519,38.9906,-47.7304,-43.6484,-226.694,1.10546,-1.24854,0,0,0,0,0,0,0,-515,0,0
4,0,0.501938,-0.196411,37.0717,-58.2281,-48.1289,-216.237,1.30191,-1.57041,0,0,0,0,0,0,0,-515,0,0
5,0,0.48686,-0.156002,36.9509,-96.3808,-11.3681,-220.428,0.309863,-2.6063,0,0,0,0,0,0,0,-515,0,0
6,0,0.301844,-0.152673,35.8448,-80.4754,-18.0359,-126.078,0.509427,-2.23728,0,0,0,0,0,0,0,-515,0,0
7,0,0.313728,-0.221898,37.2091,-101.847,-54.9791,-183.373,1.46556,-2.72574,0,0,0,0,0,0,0,-515,0,0
8,0,0.359599,-0.182101,36.6264,-82.6474,-38.4091,-230.122,1.04148,-2.24889,0,0,0,0,0,0,0,-515,0,0
9,0,0.394438,-0.0225634,35.4367,-80.7533,9.62851,-194.814,-0.279959,-2.28084,0,0,0,0,0,0,0,-515,0,0
10,0,0.391679,-0.114262,35.0219,-88.0939,24.4755,-193.583,-0.698938,-2.51559,0,0,0,0,0,0,0,-515,0,0
11,0,0.576247,-0.139809,34.6914,-90.3388,-36.4161,-152.551,1.0545,-2.60418,0,0,0,0,0,0,0,-515,0,0
12,0,0.449309,-0.0538124,34.4424,-59.4493,-50.8549,-145.773,1.47627,-1.72471,0,0,0,0,0,0,0,-515,0,0
13,0,0.456325,-0.439302,36.2887,-118.934,6.37314,-263.111,-0.14826,-3.24569,0,0,0,0,0,0,0,-515,0,0
14,0,0.471229,-0.441943,42.2545,-128.286,7.46422,-229.762,-0.196612,-3.06896,0,0,0,0,0,0,0,-515,0,0
15,0,0.622533,-0.507762,44.1104,-62.6648,-43.8314,-201.774,0.993059,-1.42146,0,0,0,0,0,0,0,-515,0,0
