Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.606597,-0.503634,37.1292,-57.1736,23.1822,-119.517,-0.638128,-1.53801,0,0,0,0,0,0,0,-515,0,0
2,0,0.396901,-0.492769,34.6965,-61.3326,-20.6776,-106.022,0.629349,-1.7735,0,0,0,0,0,0,0,-515,0,0
3,0,0.0568246,-0.399786,34.7661,-46.8594,6.34699,-108.568,-0.171278,-1.35209,0,0,0,0,0,0,0,-515,0,0
4,0,0.327907,-0.418291,35.5656,-58.7534,-29.0765,-13.2147,0.809667,-1.64939,0,0,0,0,0,0,0,-515,0,0
5,0,0.296995,-0.45294,35.3155,-64.2404,-1.94456,-94.9128,0.0491987,-1.81901,0,0,0,0,0,0,0,-515,0,0
6,0,0.131731,-0.462614,35.1505,-88.9691,-8.10084,-12.6297,0.2305,-2.53113,0,0,0,0,0,0,0,-515,0,0
7,0,0.254776,-0.444901,36.0852,-60.6556,-9.43888,8.83595,0.263502,-1.69128,0,0,0,0,0,0,0,-515,0,0
8,0,0.447687,-0.419745,36.6492,-34.7557,-11.9271,-31.9383,0.325137,-0.949093,0,0,0,0,0,0,0,-515,0,0
9,0,0.232834,-0.598281,34.5724,-84.7883,-1.58608,-24.1706,0.0382364,-2.49032,0,0,0,0,0,0,0,-515,0,0
10,0,0.123167,-0.733633,34.4286,-120.402,17.0345,-73.1908,-0.492011,-3.49444,0,0,0,0,0,0,0,-515,0,0
11,0,0.539719,-0.658488,36.399,-75.7253,-34.6883,-76.993,0.925797,-2.10704,0,0,0,0,0,0,0,-515,0,0
12,0,0.55126,-0.528065,35.7399,-51.7688,2.89599,81.4283,-0.102059,-1.44715,0,0,0,0,0,0,0,-515,0,0
13,0,0.455811,-0.540686,37.0503,-117.227,-1.52009,20.8972,0.0285468,-3.1338,0,0,0,0,0,0,0,-515,0,0
14,0,0.25153,-0.346215,38.0485,-42.2053,-46.4978,26.9544,1.21895,-1.1181,0,0,0,0,0,0,0,-515,0,0
15,0,0.0390539,-0.428793,36.311,-86.6246,-38.5756,48.0273,1.0529,-2.42822,0,0,0,0,0,0,0,-515,0,0
16,0,0.338365,-0.350872,35.6509,-114.26,8.77325,-2.94523,-0.245859,-3.20497,0,0,0,0,0,0,0,-515,0,0
17,0,0.120325,-0.392813,36.4952,-62.7296,-4.11417,70.6562,0.106377,-1.73103,0,0,0,0,0,0,0,-515,0,0
18,0,0.521467,-0.561256,35.7579,-91.5679,9.09854,-8.30888,-0.261318,-2.57543,0,0,0,0,0,0,0,-515,0,0
19,0,0.434432,-0.581913,38.0718,-81.6707,-0.859913,27.6249,0.00948802,-2.1687,0,0,0,0,0,0,0,-515,0,0
20,0,0.30348,-0.662615,40.7643,-127.864,-6.57022,8.14526,0.161679,-3.11705,0,0,0,0,0,0,0,-515,0,0
21,0,0.223395,-0.599519,38.8905,-103.545,-16.7585,-86.3398,0.437683,-2.64028,0,0,0,0,0,0,0,-515,0,0
22,0,0.359437,-0.42518,36.99,-108.678,-27.1704,-10.4458,0.736421,-2.94439,0,0,0,0,0,0,0,-515,0,0
23,0,0.263235,-0.385742,36.4774,-115.512,29.5533,39.6473,-0.812647,-3.16665,0,0,0,0,0,0,0,-515,0,0
24,0,0.46312,-0.547677,37.0751,-84.6714,-36.8672,60.2976,0.978996,-2.28941,0,0,0,0,0,0,0,-515,0,0
25,0,0.389032,-0.549059,35.0263,-94.1197,4.20932,41.4724,-0.168579,-2.70471,0,0,0,0,0,0,0,-515,0,0
26,0,0.696696,-0.355725,36.5606,-61.7339,-11.5289,65.2288,0.286897,-1.71838,0,0,0,0,0,0,0,-515,0,0
27,0,0.575158,-0.172325,37.3453,-53.4753,-19.1367,33.0709,0.51225,-1.43206,0,0,0,0,0,0,0,-515,0,0
28,0,0.373707,-0.406792,36.5226,-51.2634,-9.36607,24.6769,0.255022,-1.40287,0,0,0,0,0,0,0,-515,0,0
29,0,0.266814,-0.35443,37.2286,-121.925,-19.7821,71.9816,0.528047,-3.25653,0,0,0,0,0,0,0,-515,0,0
30,0,0.319745,-0.31839,38.0253,-72.552,-0.585746,104.461,0.0180437,-1.91645,0,0,0,0,0,0,0,-515,0,0
31,0,0.237601,-0.357798,36.4675,-69.4264,-13.4333,49.6853,0.378606,-1.91666,0,0,0,0,0,0,0,-515,0,0
32,0,0.401037,-0.379593,36.9165,-94.3962,-42.3891,43.7838,1.14238,-2.55312,0,0,0,0,0,0,0,-515,0,0
33,0,0.567437,-0.320984,36.7483,-72.4886,-53.6577,41.601,1.46081,-1.96853,0,0,0,0,0,0,0,-515,0,0
34,0,0.405079,-0.370001,35.8883,-101.456,19.7185,18.3392,-0.563259,-2.83453,0,0,0,0,0,0,0,-515,0,0
35,0,0.352315,-0.336678,36.4353,-101.567,32.1766,-8.91309,-0.88658,-2.79123,0,0,0,0,0,0,0,-515,0,0
36,0,0.451791,-0.33458,36.5861,-97.7145,-3.03287,7.81875,0.084025,-2.67088,0,0,0,0,0,0,0,-515,0,0
37,0,0.240072,-0.407731,36.094,-72.2619,-17.7488,4.49035,0.492235,-1.99895,0,0,0,0,0,0,0,-515,0,0
38,0,-0.00133678,-0.2794,35.8531,-68.8148,-1.86301,116.241,0.0515743,-1.91949,0,0,0,0,0,0,0,-515,0,0
39,0,-0.00986048,-0.110424,36.1839,-54.7988,14.9195,70.9664,-0.411278,-1.51616,0,0,0,0,0,0,0,-515,0,0
40,0,0.120506,-0.110927,36.9629,-38.8742,14.8293,18.6843,-0.401933,-1.05358,0,0,0,0,0,0,0,-515,0,0
41,0,0.349212,-0.240087,36.0011,-52.8623,-18.2356,-81.1549,0.51731,-1.47485,0,0,0,0,0,0,0,-515,0,0
42,0,0.3518,-0.239925,37.3342,-45.7685,-15.4891,-30.5614,0.422209,-1.23355,0,0,0,0,0,0,0,-515,0,0
43,0,0.470161,-0.3251,38.2095,-58.6852,-27.7367,48.8094,0.724935,-1.53489,0,0,0,0,0,0,0,-515,0,0
44,0,0.57187,-0.323504,38.0084,-38.2664,-22.8312,42.4189,0.599884,-1.00487,0,0,0,0,0,0,0,-515,0,0
45,0,0.505395,-0.258871,36.9753,-63.8048,-2.3235,41.2568,0.0588286,-1.73476,0,0,0,0,0,0,0,-515,0,0
46,0,0.608153,-0.221864,36.57,-12.7491,-14.5289,60.1129,0.397606,-0.347513,0,0,0,0,0,0,0,-515,0,0
47,0,0.756109,-0.130079,35.5568,-63.6182,-25.0534,-6.39281,0.70588,-1.81088,0,0,0,0,0,0,0,-515,0,0
48,0,0.696821,-0.347408,36.1785,-74.1394,-21.2046,3.23264,0.587763,-2.05466,0,0,0,0,0,0,0,-515,0,0
49,0,0.517249,-0.226849,35.9682,-6.92496,-15.8796,-7.55051,0.440982,-0.182644,0,0,0,0,0,0,0,-515,0,0
50,0,0.375076,-0.336972,36.1067,-55.2159,-9.86753,67.7117,0.273775,-1.52221,0,0,0,0,0,0,0,-515,0,0
51,0,0.272034,-0.475853,36.9407,-57.9882,-18.6418,75.0244,0.502673,-1.5745,0,0,0,0,0,0,0,-515,0,0
52,0,0.318832,-0.209202,36.9959,-26.4532,-14.4591,126.206,0.390387,-0.713774,0,0,0,0,0,0,0,-515,0,0
53,0,0.42464,-0.135939,36.3554,-45.2821,-40.2947,132.212,1.11297,-1.24992,0,0,0,0,0,0,0,-515,0,0
54,0,0.433777,-0.216354,36.2149,-70.5821,-36.3295,114.239,1.00345,-1.94869,0,0,0,0,0,0,0,-515,0,0
55,0,0.424798,-0.27955,38.157,-66.1676,-18.1324,86.3773,0.482107,-1.74083,0,0,0,0,0,0,0,-515,0,0
56,0,0.444997,-0.28582,39.0838,-23.8106,-27.6312,105.776,0.706232,-0.611265,0,0,0,0,0,0,0,-515,0,0
57,0,0.403011,-0.446139,35.8203,-50.9572,-14.6178,87.1528,0.392589,-1.46491,0,0,0,0,0,0,0,-515,0,0
58,0,0.375365,-0.440404,35.4322,-90.3601,-8.56114,104.655,0.241487,-2.54465,0,0,0,0,0,0,0,-515,0,0
