Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-0.150408,-0.696563,34.7952,-131.282,35.9959,-78.8863,-1.03277,-3.77009,0,0,0,0,0,0,0,-515,0,0
2,0,0.0253251,-0.711904,34.4673,-61.3947,-11.3558,-182.901,0.329653,-1.78592,0,0,0,0,0,0,0,-515,0,0
3,0,0.0749785,-0.751523,34.1632,-89.7669,-8.15302,-166.54,0.241803,-2.62789,0,0,0,0,0,0,0,-515,0,0
4,0,0.0590727,-0.787165,34.7163,-91.3366,-7.01154,-157.915,0.212405,-2.63213,0,0,0,0,0,0,0,-515,0,0
5,0,-0.0484197,-0.812454,33.5844,-99.0104,-21.6954,-165.394,0.64014,-2.94982,0,0,0,0,0,0,0,-515,0,0
6,0,-0.0851894,-0.692228,33.6891,-116.967,38.6533,-147.417,-1.15728,-3.47489,0,0,0,0,0,0,0,-515,0,0
7,0,-0.0570937,-0.839315,34.9201,-97.1712,1.94125,-153.528,-0.0550294,-2.78174,0,0,0,0,0,0,0,-515,0,0
8,0,-0.0729455,-0.620174,34.9182,-53.3134,-27.2196,-173.461,0.779589,-1.52592,0,0,0,0,0,0,0,-515,0,0
9,0,-0.00727408,-0.662969,35.025,-73.1732,-29.1943,-163.796,0.834413,-2.09046,0,0,0,0,0,0,0,-515,0,0
10,0,0.237062,-0.631942,34.5752,-87.2142,-24.6482,-246.37,0.70948,-2.52274,0,0,0,0,0,0,0,-515,0,0
11,0,0.262276,-0.687285,35.4149,-81.4947,-1.66414,-186.77,-0.00590162,-2.33117,0,0,0,0,0,0,0,-515,0,0
12,0,0.442969,-0.605262,38.2795,-68.4567,-52.2967,-175.932,1.34984,-1.81152,0,0,0,0,0,0,0,-515,0,0
13,0,0.537615,-0.724787,35.7911,-98.9143,-25.0627,-200.125,0.708943,-2.75231,0,0,0,0,0,0,0,-515,0,0
14,0,0.25358,-0.680742,34.6935,-58.115,-43.0883,-224.713,1.24273,-1.67497,0,0,0,0,0,0,0,-515,0,0
15,0,0.291666,-0.514824,35.0298,-87.5932,-4.68954,-285.101,0.135437,-2.48576,0,0,0,0,0,0,0,-515,0,0
16,0,0.0728305,-0.759081,35.6874,-153.387,-3.78557,-278.33,0.108445,-4.29541,0,0,0,0,0,0,0,-515,0,0
17,0,-0.135658,-0.842147,35.0671,-114.426,-22.9683,-148.505,0.654408,-3.25735,0,0,0,0,0,0,0,-515,0,0
18,0,-0.273979,-0.757592,35.2733,-74.4411,-10.1435,-158.344,0.30257,-2.10727,0,0,0,0,0,0,0,-515,0,0
19,0,-0.29204,-0.615768,38.0801,-67.7322,15.4224,-216.778,-0.405692,-1.79831,0,0,0,0,0,0,0,-515,0,0
20,0,-0.225033,-0.615251,39.0003,-32.4781,3.76338,-124.41,-0.0810182,-0.861451,0,0,0,0,0,0,0,-515,0,0
21,0,-0.0589232,-0.777611,36.417,-91.3157,-13.7453,-117.506,0.36396,-2.50934,0,0,0,0,0,0,0,-515,0,0
