Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.428549,-0.564584,73.1852,-87.8927,21.5747,-85.1064,-0.299468,-1.20371,0,0,0,0,0,0,0,-515,0,0
2,0,0.391324,-0.685333,73.5436,-79.395,-2.50759,-12.7892,0.0305569,-1.08128,0,0,0,0,0,0,0,-515,0,0
3,0,0.550849,-0.689009,74.5213,-82.4059,-31.9348,-72.2651,0.428262,-1.10511,0,0,0,0,0,0,0,-515,0,0
4,0,0.580522,-0.776639,71.8202,-53.223,-55.6414,-96.4997,0.780965,-0.732107,0,0,0,0,0,0,0,-515,0,0
5,0,0.308616,-0.725538,71.3321,-103.884,-8.25843,-114.001,0.120655,-1.45072,0,0,0,0,0,0,0,-515,0,0
6,0,0.239411,-0.515576,71.8972,-82.0486,-9.56164,8.18747,0.132642,-1.14186,0,0,0,0,0,0,0,-515,0,0
7,0,0.331183,-0.53154,71.0365,-84.1602,-48.7292,-70.6547,0.688244,-1.18718,0,0,0,0,0,0,0,-515,0,0
8,0,0.328137,-0.46637,70.9973,-44.9934,-23.6689,-182.091,0.334763,-0.635671,0,0,0,0,0,0,0,-515,0,0
9,0,0.209734,-0.667329,72.1051,-101.52,11.8093,-16.3848,-0.162283,-1.40124,0,0,0,0,0,0,0,-515,0,0
10,0,0.0490618,-0.650054,71.3415,-108.837,11.1551,-10.8499,-0.155382,-1.52239,0,0,0,0,0,0,0,-515,0,0
11,0,0.0625345,-0.56976,69.7897,-81.5194,-57.1773,-90.9647,0.825433,-1.16697,0,0,0,0,0,0,0,-515,0,0
12,0,0.000783011,-0.627948,71.3019,-78.5921,-47.2149,-42.7419,0.669902,-1.10207,0,0,0,0,0,0,0,-515,0,0
13,0,-0.0676001,-0.665809,70.7799,-78.9433,-26.6264,-70.8931,0.376036,-1.1154,0,0,0,0,0,0,0,-515,0,0
14,0,-0.0680799,-0.690604,72.212,-129.017,-27.0892,-113.488,0.375046,-1.77752,0,0,0,0,0,0,0,-515,0,0
15,0,-0.0623997,-0.500983,75.4618,-99.4537,-18.3102,-126.975,0.24452,-1.32862,0,0,0,0,0,0,0,-515,0,0
16,0,-0.051331,-0.467422,73.7421,-98.3604,-24.7136,-60.2214,0.337919,-1.34043,0,0,0,0,0,0,0,-515,0,0
17,0,-0.27879,-0.702874,72.2174,-126.956,-7.11355,-53.3629,0.0980666,-1.75831,0,0,0,0,0,0,0,-515,0,0
18,0,-0.335174,-0.550388,73.2475,-139.512,-1.22311,-124.961,0.0162159,-1.90443,0,0,0,0,0,0,0,-515,0,0
19,0,-0.0799212,-0.663303,77.0973,-106.418,-48.3054,-81.1641,0.615018,-1.39104,0,0,0,0,0,0,0,-515,0,0
20,0,0.0624261,-0.64564,76.0222,-107.489,-45.759,-92.7476,0.597219,-1.41846,0,0,0,0,0,0,0,-515,0,0
21,0,0.210436,-0.623714,74.6488,-142.265,35.534,-36.0973,-0.476757,-1.90607,0,0,0,0,0,0,0,-515,0,0
22,0,0.187717,-0.622965,74.1894,-129.025,9.77492,-40.2136,-0.129737,-1.73827,0,0,0,0,0,0,0,-515,0,0
23,0,0.174255,-0.647993,74,-94.2921,-6.33614,-18.6983,0.0856235,-1.27422,0,0,0,0,0,0,0,-515,0,0
24,0,0.403255,-0.602666,73.2869,-70.7245,-21.0437,-33.0341,0.288422,-0.964274,0,0,0,0,0,0,0,-515,0,0
25,0,0.394062,-0.485963,71.6875,-71.5322,-14.5083,-134.981,0.200552,-0.998774,0,0,0,0,0,0,0,-515,0,0
26,0,0.11712,-0.332337,70.2868,-92.2293,-11.9681,-179.678,0.170677,-1.3136,0,0,0,0,0,0,0,-515,0,0
27,0,-0.0617015,-0.364952,71.618,-104.275,-24.2372,-102.903,0.336937,-1.45578,0,0,0,0,0,0,0,-515,0,0
28,0,-0.123735,-0.392993,73.4179,-94.1644,-16.1634,-124.826,0.221291,-1.28373,0,0,0,0,0,0,0,-515,0,0
29,0,0.0415995,-0.493148,74.2947,-94.1688,21.4947,-123.034,-0.288209,-1.26732,0,0,0,0,0,0,0,-515,0,0
30,0,0.153981,-0.558939,79.1091,-197.237,20.9749,-25.6019,-0.2712,-2.46107,0,0,0,0,0,0,0,-515,0,0
31,0,0.148156,-0.580392,80.9033,-196.899,-10.1412,17.4822,0.126033,-2.4324,0,0,0,0,0,0,0,-515,0,0
32,0,0.0383483,-0.615825,77.6073,-111.902,-28.3892,-22.6767,0.367753,-1.42804,0,0,0,0,0,0,0,-515,0,0
33,0,0.109502,-0.493547,73.235,-100.235,-11.0091,-21.1131,0.145232,-1.37417,0,0,0,0,0,0,0,-515,0,0
34,0,0.199246,-0.539367,73.1174,-101.945,-39.0692,34.0652,0.530139,-1.39523,0,0,0,0,0,0,0,-515,0,0
35,0,0.124585,-0.600559,72.7192,-61.5152,-3.78482,-41.5319,0.0473193,-0.842698,0,0,0,0,0,0,0,-515,0,0
36,0,-0.00801764,-0.599213,70.3265,-53.3396,25.61,-36.1476,-0.365029,-0.760451,0,0,0,0,0,0,0,-515,0,0
