currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,777.10,750.59,748.19,749.44,756.33,136.72,-877.44,479.98,-1.63,4.01,0.30,22.86
64,777.10,750.61,748.28,749.47,756.36,135.25,-887.70,477.05,1.86,3.15,-0.31,23.97
102,777.22,750.65,748.23,749.42,756.38,119.63,-896.00,494.14,0.66,1.26,-0.34,23.45
143,777.14,750.64,748.25,749.47,756.38,124.51,-895.02,496.09,-1.13,2.79,-0.80,23.65
181,777.03,750.64,748.26,749.51,756.36,147.46,-878.42,479.49,-0.74,0.55,-1.96,23.72
219,777.10,750.66,748.24,749.45,756.36,139.16,-883.30,491.70,-0.40,1.97,0.69,23.43
260,777.06,750.62,748.17,749.40,756.31,127.93,-886.72,487.30,-0.24,0.89,2.68,22.10
298,777.07,750.72,748.26,749.43,756.37,118.65,-877.93,485.84,-1.44,0.60,0.56,23.27
336,777.31,750.67,748.23,749.42,756.41,137.70,-866.70,490.23,-1.56,0.53,1.08,23.26
373,777.29,750.66,748.24,749.33,756.38,138.67,-873.05,491.70,1.80,3.76,-1.08,23.47
411,777.26,750.71,748.19,749.41,756.39,140.14,-877.93,495.12,0.33,0.95,0.21,21.44
449,777.36,750.64,748.28,749.36,756.41,134.77,-878.91,483.40,1.65,2.96,0.43,23.74
490,777.42,750.58,748.20,749.36,756.39,131.35,-878.91,488.28,-0.85,-1.10,1.63,23.66
528,777.40,750.61,748.20,749.22,756.36,129.39,-879.39,482.91,-2.71,-0.28,-0.02,23.57
566,777.77,750.43,748.14,749.14,756.37,132.81,-862.30,484.37,0.33,0.53,-0.45,24.23
604,778.10,750.35,748.09,749.07,756.40,144.53,-882.32,489.75,3.04,-0.31,1.21,24.27
642,778.01,750.38,748.12,749.03,756.39,159.18,-882.81,489.75,2.30,0.80,-2.80,24.27
680,777.96,750.36,748.06,749.08,756.37,120.61,-867.19,498.05,0.74,0.15,1.24,23.66
721,778.12,750.39,748.01,749.02,756.38,119.63,-876.95,486.82,0.15,4.30,-1.35,22.04
758,778.05,750.30,748.12,748.95,756.35,132.81,-876.46,500.49,0.97,-1.82,1.40,24.83
796,778.11,750.27,748.09,748.92,756.35,143.07,-890.62,486.82,-0.85,-2.02,-1.05,24.81
834,778.19,750.30,748.11,748.88,756.37,142.58,-874.02,478.03,1.09,0.88,0.01,24.71
872,778.22,750.23,748.07,748.91,756.36,137.70,-892.58,497.07,0.31,2.31,-0.93,24.85
914,778.28,750.26,748.06,748.86,756.37,136.72,-880.37,498.54,1.42,0.76,0.02,24.63
959,778.28,750.21,748.07,748.88,756.36,145.02,-876.95,490.23,-1.82,1.60,-0.74,24.96
997,778.16,750.27,748.09,748.92,756.36,133.79,-866.70,495.12,-1.45,0.75,0.09,24.77
1035,778.07,750.31,748.08,748.95,756.35,142.09,-876.95,477.54,-0.53,0.02,-1.05,24.56
1072,777.88,750.29,748.11,749.01,756.32,131.84,-879.39,496.09,0.40,0.76,-0.76,24.89
1110,777.90,750.31,748.15,749.03,756.35,136.23,-882.32,498.05,2.01,-0.14,0.21,25.01
1148,777.76,750.29,748.13,749.04,756.31,153.81,-876.46,485.84,-0.14,2.79,2.79,25.09
1190,777.54,750.40,748.16,749.16,756.31,130.86,-889.65,482.42,0.07,3.28,-1.81,24.67
1229,777.21,750.36,748.16,749.28,756.25,143.55,-888.67,489.75,-1.85,-1.48,1.49,24.93
1266,776.99,750.50,748.20,749.38,756.27,135.25,-881.35,493.65,0.62,0.67,0.24,24.38
1304,776.66,750.56,748.18,749.41,756.20,156.74,-889.65,496.58,0.89,2.76,-2.08,23.63
1342,776.47,750.57,748.26,749.46,756.19,131.84,-883.30,476.07,-0.07,1.33,0.18,24.53
1380,776.22,750.59,748.25,749.53,756.15,140.62,-887.21,478.03,-1.08,0.24,-0.13,24.46
1420,776.02,750.63,748.30,749.55,756.13,127.93,-881.84,479.98,-1.70,3.27,1.24,24.55
1458,775.87,750.67,748.34,749.62,756.12,144.04,-876.46,486.82,-0.34,2.76,-3.05,24.50
1496,775.78,750.68,748.24,749.67,756.09,121.58,-882.32,488.77,-0.52,1.03,-0.03,22.66
1534,775.70,750.63,748.38,749.67,756.09,126.46,-876.46,484.37,0.66,-0.95,3.10,24.93
1572,775.65,750.78,748.26,749.74,756.11,137.21,-891.11,484.37,0.03,2.15,-0.62,21.37
1610,775.53,750.73,748.34,749.64,756.06,119.14,-864.26,494.14,0.76,0.63,0.79,24.34
1650,775.55,750.78,748.25,749.67,756.07,134.77,-885.25,487.30,0.41,2.39,1.24,21.83
1688,775.44,750.72,748.31,749.66,756.03,131.35,-885.25,487.30,0.92,-0.99,0.73,24.32
1726,775.45,750.81,748.36,749.76,756.09,138.67,-874.51,500.98,0.15,-0.97,1.48,23.93
1764,775.39,750.77,748.29,749.83,756.07,118.16,-884.28,501.95,-0.85,-0.38,1.75,22.12
1802,775.46,750.72,748.33,749.79,756.08,125.00,-896.97,476.07,0.39,1.57,1.75,24.26
1840,775.51,750.74,748.33,749.71,756.07,132.32,-887.21,488.28,2.05,1.35,-1.62,24.21
1880,775.51,750.75,748.29,749.77,756.08,120.61,-915.04,467.29,-0.74,5.73,0.73,22.68
1919,775.49,750.75,748.33,749.83,756.10,118.16,-842.29,489.26,1.44,3.56,-0.06,23.50
1959,775.47,750.77,748.34,749.78,756.09,145.51,-881.35,486.82,-0.54,0.71,1.69,23.95
1997,775.60,750.77,748.33,749.84,756.13,132.32,-876.46,496.58,-1.29,-0.85,-3.00,23.27
2035,775.55,750.79,748.28,749.83,756.11,134.77,-887.70,485.84,0.78,1.95,0.94,21.06
2073,775.62,750.74,748.26,749.82,756.11,146.00,-875.00,502.44,1.51,3.07,-0.22,21.12
2114,775.60,750.76,748.33,749.74,756.11,141.11,-858.89,485.84,1.79,2.56,0.50,24.05
2152,775.68,750.73,748.28,749.80,756.12,140.14,-885.74,468.26,3.12,6.62,-0.75,22.12
2193,775.60,750.69,748.36,749.73,756.09,141.60,-902.83,503.42,0.60,1.68,-0.89,24.54
2231,775.61,750.79,748.38,749.80,756.15,126.95,-866.21,495.61,-1.47,2.21,-1.08,23.96
2269,775.58,750.75,748.28,749.83,756.11,135.74,-892.58,490.72,-1.61,3.46,1.21,21.62
2306,775.45,750.78,748.33,749.77,756.08,141.11,-896.97,492.19,-1.83,3.48,1.57,23.50
2348,775.36,750.79,748.30,749.79,756.06,129.39,-888.18,490.72,-2.37,-4.26,1.05,22.26
2387,775.43,750.76,748.32,749.80,756.08,156.25,-875.49,500.98,1.94,2.40,-1.11,23.29
2424,775.43,750.76,748.35,749.79,756.08,140.14,-886.72,497.56,4.24,1.82,1.44,24.12
2463,775.33,750.86,748.36,749.79,756.09,146.00,-897.46,479.98,-0.17,2.19,3.26,23.48
2500,775.31,750.77,748.25,749.88,756.05,134.77,-873.54,501.95,1.55,-0.01,1.36,20.14
2539,775.32,750.83,748.32,749.84,756.08,58.59,-898.93,467.77,4.89,-6.21,-0.37,22.08
2579,775.00,750.79,748.29,749.84,755.98,111.82,-893.07,536.13,39.93,-1.35,1.85,21.75
2617,774.93,750.87,748.37,749.78,755.99,117.68,-872.07,490.23,-18.00,-10.51,-1.31,23.90
2655,775.19,750.76,748.31,749.76,756.01,113.77,-879.39,475.59,6.99,4.62,2.47,23.52
2693,775.09,750.76,748.33,749.86,756.01,142.58,-899.41,478.03,-2.10,2.17,0.25,23.36
2731,775.19,750.78,748.37,749.84,756.04,129.39,-875.00,503.42,3.12,4.33,-0.67,24.19
2769,775.19,750.81,748.37,749.85,756.06,150.39,-862.79,473.63,-1.76,-1.78,-3.01,23.96
2809,775.21,750.86,748.34,749.83,756.06,136.72,-915.04,480.96,-1.53,2.36,3.95,22.53
2847,775.25,750.87,748.37,749.92,756.10,155.76,-866.70,466.31,-2.83,4.82,0.50,22.67
2884,775.22,750.85,748.32,749.88,756.07,143.07,-874.02,508.30,6.66,2.86,1.20,21.75
2922,775.11,750.84,748.29,749.87,756.03,142.58,-889.65,495.12,0.71,0.43,-0.89,20.83
2962,775.06,750.89,748.34,749.86,756.04,128.42,-881.35,504.88,0.27,1.19,2.32,22.08
3000,775.15,750.82,748.41,749.84,756.06,137.21,-889.16,485.35,1.07,2.82,2.95,24.11
3041,775.19,750.81,748.32,749.85,756.04,140.14,-875.00,490.23,1.69,1.80,-1.45,22.33
3079,775.22,750.87,748.36,749.82,756.07,135.25,-878.91,493.16,1.28,1.93,0.68,23.15
3116,775.30,750.88,748.37,749.80,756.09,132.81,-878.42,491.21,1.26,-0.87,0.06,23.41
3154,775.28,750.96,748.31,749.87,756.11,131.35,-878.42,488.28,-0.53,0.95,-0.03,20.05
3192,775.22,750.85,748.33,749.78,756.04,138.67,-888.18,498.54,0.24,3.32,1.09,22.65
3230,775.31,750.91,748.30,749.92,756.11,140.14,-879.39,483.89,1.40,1.14,0.82,19.69
3270,775.28,750.82,748.31,749.87,756.07,146.97,-879.39,479.98,-0.12,1.21,1.73,21.93
