currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
23,783.64,755.43,745.82,744.75,757.41,-43.95,-920.90,420.90,-2.18,-0.15,0.25,-123.82
58,783.75,755.38,745.82,744.73,757.42,-54.20,-931.15,424.32,-0.99,-2.95,0.63,-123.30
94,783.93,755.28,745.90,744.71,757.45,-61.04,-927.25,437.01,-1.79,-0.44,1.44,-119.31
128,784.02,755.26,745.91,744.66,757.46,-58.59,-924.32,419.92,-1.38,0.13,-2.81,-118.71
163,784.33,755.10,745.84,744.59,757.47,-62.01,-931.64,439.94,-0.38,-2.51,0.31,-120.25
199,784.51,755.10,745.81,744.57,757.50,-51.27,-935.06,420.90,-1.50,-1.77,1.10,-121.62
234,784.58,754.97,745.86,744.60,757.50,-49.32,-917.48,426.27,-0.60,-1.15,-1.69,-118.32
269,784.72,754.90,745.85,744.53,757.50,-41.50,-942.38,430.18,-0.76,2.13,0.13,-117.92
304,784.75,754.81,745.82,744.45,757.46,-60.06,-917.97,420.90,-1.92,2.60,2.33,-118.02
340,784.79,754.76,745.79,744.46,757.45,-61.04,-934.08,422.85,-0.73,0.06,1.10,-118.57
376,784.85,754.76,745.78,744.48,757.47,146.00,-824.22,839.36,-4.19,-17.13,46.61,-119.42
412,784.82,754.77,745.80,744.45,757.46,-57.62,-931.64,447.27,-0.80,-0.21,0.11,-118.44
448,784.88,754.91,745.88,744.48,757.54,-44.43,-927.73,429.69,-1.43,-0.76,0.77,-117.00
484,784.72,754.86,745.78,744.56,757.48,-52.73,-924.80,423.83,-1.68,2.39,0.98,-120.87
519,784.64,754.98,745.85,744.62,757.52,-48.83,-924.32,424.80,0.76,2.56,-0.89,-119.24
556,784.64,754.95,745.81,744.64,757.51,-51.76,-915.04,425.29,-0.29,-2.18,0.73,-120.65
592,784.68,754.92,745.84,744.69,757.53,-47.36,-931.15,424.32,-0.68,-0.43,1.51,-119.61
627,784.49,755.02,745.84,744.62,757.49,-56.15,-932.62,431.64,0.00,1.02,1.37,-119.60
663,784.45,754.89,745.78,744.61,757.43,-62.50,-932.62,423.34,-0.77,-0.27,-1.12,-120.56
698,784.46,755.01,745.75,744.72,757.48,-57.62,-923.34,426.27,0.30,-1.39,-0.44,-123.53
733,784.32,755.03,745.79,744.72,757.46,-49.80,-937.50,426.76,-1.79,0.60,-1.57,-122.20
769,784.07,755.01,745.79,744.69,757.39,-28.81,-935.06,412.11,1.51,1.46,-0.53,-120.81
804,783.99,755.16,745.89,744.76,757.45,-47.36,-930.18,457.03,-0.53,6.24,-0.84,-119.01
840,783.78,755.16,745.91,744.83,757.42,-69.34,-926.76,432.62,-2.51,2.50,2.33,-117.86
875,783.48,755.27,745.88,744.93,757.39,-47.36,-923.83,430.18,1.45,1.20,1.95,-120.14
911,783.27,755.33,745.91,744.87,757.34,-49.80,-924.32,436.04,0.13,3.34,-1.05,-118.74
948,782.99,755.41,745.92,745.08,757.35,-61.52,-925.78,433.11,0.06,1.31,-1.50,-119.52
984,782.69,755.58,745.94,745.22,757.36,-53.71,-920.41,433.59,0.27,1.21,-1.85,-120.89
1019,782.22,755.73,745.97,745.33,757.31,-28.32,-916.99,431.15,-0.66,-2.94,1.69,-120.41
1055,782.13,755.72,745.92,745.29,757.27,-60.55,-918.95,438.48,-0.49,-1.06,-1.36,-122.04
1090,782.00,755.75,745.95,745.31,757.25,-50.29,-931.15,417.48,0.06,-1.15,-1.37,-120.99
1126,781.92,755.67,746.03,745.28,757.23,-48.83,-926.27,434.08,-0.55,-0.52,1.50,-116.61
1161,781.92,755.69,745.91,745.28,757.20,-48.83,-936.04,427.25,0.64,1.42,-1.18,-121.61
1197,781.80,755.69,745.91,745.27,757.17,-63.96,-925.78,424.32,0.53,0.53,-3.91,-120.97
1232,781.86,755.58,745.91,745.24,757.15,-73.73,-919.43,445.31,-1.31,0.93,-0.92,-119.73
1268,781.96,755.58,745.97,745.21,757.18,-31.74,-929.20,423.83,0.50,-0.33,-0.98,-117.55
