currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,763.86,764.79,756.12,757.21,760.49,-103.52,-986.33,204.10,0.38,-0.30,-0.30
53,763.96,764.73,756.20,757.22,760.53,-102.54,-990.23,211.43,0.90,0.42,-1.63
84,763.90,764.77,756.21,757.22,760.52,-92.77,-988.28,219.73,-2.00,1.03,-0.56
114,763.90,764.76,756.28,757.20,760.53,-92.29,-997.56,210.94,-1.39,1.73,0.78
145,763.86,764.79,756.20,757.18,760.51,-96.68,-1001.95,210.45,-1.69,1.49,2.07
178,763.93,764.72,756.17,757.27,760.52,-101.56,-989.75,212.89,1.02,1.86,-0.71
209,763.97,764.75,756.23,757.30,760.56,-96.68,-1000.00,202.64,-1.39,1.49,0.88
240,763.92,764.83,756.19,757.23,760.54,-112.79,-993.65,203.61,0.76,-2.09,-3.02
271,763.93,764.75,756.23,757.26,760.54,-91.80,-996.09,212.40,-2.52,0.16,1.03
302,763.92,764.72,756.21,757.22,760.52,-118.65,-997.07,208.50,-2.91,0.52,-0.99
333,763.93,764.73,756.27,757.30,760.56,-104.49,-995.61,207.52,-0.56,0.24,0.69
364,763.88,764.70,756.17,757.26,760.50,-97.17,-995.61,196.78,-2.74,2.05,-1.73
412,763.91,764.77,756.24,757.22,760.53,-95.70,-994.63,193.85,1.40,1.92,-0.15
444,763.93,764.69,756.20,757.20,760.50,-100.59,-996.09,208.98,-0.92,-0.70,1.85
475,763.90,764.70,756.23,757.16,760.50,-98.14,-983.40,202.64,-0.45,2.53,3.00
506,763.93,764.70,756.20,757.21,760.51,-105.96,-992.19,201.66,0.26,-0.17,-1.16
537,763.93,764.64,756.19,757.29,760.51,-98.63,-996.09,194.82,0.27,0.72,0.37
568,763.94,764.66,756.21,757.23,760.51,-93.75,-992.19,201.66,-0.53,-0.69,-2.62
599,763.93,764.67,756.28,757.23,760.53,-106.93,-997.07,204.59,0.73,4.03,-2.02
