currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
43969,775.16,765.46,756.3,758.98,763.98,-65.92,-926.76,429.69,26.5,-5.27,-1.66,8795,0,8.10532,-8.71404,-56.6568,2244.35,1601.88,-85.6086,-481.597,450.427,0,60
44000,781.31,766.94,756.38,759.37,766,-37.11,-912.6,456.54,10.76,0.31,-6.08,8801,0,12.775,-0.699968,-117.519,5337.81,3130.93,338.487,-483.37,444.617,0,60
44031,790.35,768.95,756.47,759.93,768.92,-48.83,-936.52,404.79,14.59,-2.24,-5.67,8807,0,16.7097,0.889893,-162.79,7783.53,4236.22,438.674,-483.979,442.192,0,60
44062,803.21,771.09,756.58,760.69,772.89,-35.16,-932.62,404.3,23.65,-3.82,-3.45,8813,0,24.598,4.69552,-200.966,9597.55,5542.12,1007.07,-482.428,442.245,0,60
44093,814.92,772.68,756.63,761.38,776.4,-53.71,-915.04,449.22,17.19,-3.07,-1.4,8820,0,38.3022,7.43419,-269.511,13533.7,7890.97,1874.44,-480.72,439.787,0,60
44124,820.76,774.77,756.8,762.29,778.65,-62.99,-925.78,449.71,10.48,-2.78,-4.47,8826,0,46.9689,5.68839,-350.679,18341.7,10113.5,2594.6,-481.161,437.705,0,60
44155,824.75,776.79,756.87,762.94,780.34,-40.53,-906.25,462.4,6.35,-0.91,-2.95,8832,0,52.5667,5.1632,-418.154,22085.7,11881.1,2847.82,-481.585,437.181,0,60
44186,828.66,778.83,757.07,763.53,782.02,-54.2,-929.69,444.82,3.6,0.49,-5.56,8838,0,57.769,9.03989,-461.04,23351.4,13248.5,3282.13,-481.264,439.349,0,60
44216,830.1,780.67,757.04,763.89,782.92,-40.04,-920.9,461.43,-0.02,1.21,-0.48,8844,0,63.5023,13.3182,-503.324,24410.9,14672.9,3339.42,-480.849,441.501,0,60
44248,829.98,781.49,757.08,764.15,783.18,-53.22,-919.92,457.03,-3.24,0.19,-2.06,8851,0,68.9636,12.6989,-547.259,25636.8,16140.7,3165.36,-480.506,443.153,0,60
44278,829.02,781.56,757.06,764.05,782.92,-41.02,-922.36,452.15,-1.81,-1.24,-2.24,8857,0,71.3035,14.3812,-567.087,25441.1,16947.6,3086.01,-480.115,445.137,0,60
44309,829.07,781.09,757.07,763.75,782.74,-48.83,-911.13,464.36,-0.55,-2.88,-0.44,8863,0,70.1174,13.785,-568.073,24655.9,17048,2852.43,-479.99,446.597,0,60
44340,830.06,780.58,756.98,763.22,782.71,-45.41,-910.16,470.21,-1.69,3.9,0.15,8869,0,67.2328,14.8698,-558.881,23856.6,16747.3,2886.16,-480.034,447.314,0,60
44371,831.66,779.98,756.96,762.76,782.84,-42.97,-902.34,484.86,-2.77,-2.08,-0.32,8875,0,64.0737,12.6677,-550.276,24200.6,16546.7,2732.68,-479.93,446.021,0,60
44402,833.72,779.48,756.9,762.31,783.11,-33.2,-920.41,446.29,-2.52,2.76,-0.76,8881,0,62.0808,10.7999,-548.067,25175.4,16370.7,2747.27,-480.13,444.065,0,60
44433,836.31,778.85,756.91,762,783.52,-37.6,-925.78,453.12,-1,2.1,0.77,8888,0,62.4836,9.84715,-547.821,26613.7,16387.2,2863.32,-480.087,441.419,0,60
44464,838.36,777.89,756.86,761.41,783.63,-44.43,-923.83,456.54,2.53,3.41,0.62,8894,0,61.806,11.4158,-552.785,27770.9,16620.6,2719.14,-479.933,439.762,0,60
44495,840.57,776.76,756.79,760.9,783.75,-88.38,-868.65,474.61,1.54,3.63,0.95,8900,0,60.4816,11.1254,-555.697,29193.6,16510,2663.7,-480.29,437.465,0,60
44526,840.84,775.7,756.8,760.75,783.52,-54.2,-920.41,437.99,0.46,4.81,-0.12,8906,0,57.8799,11.0738,-553.513,30316.5,16048.9,2347.79,-481.006,435.229,0,60
44557,839.71,774.7,756.76,760.51,782.92,-51.76,-907.71,453.61,1.73,3.54,0.82,8912,0,55.6491,10.0561,-548.414,31574.2,15669.2,2086.41,-481.428,432.426,0,60
44588,838.05,773.73,756.75,760.26,782.2,-57.13,-910.16,465.82,-1.5,-0.23,1.76,8919,0,51.505,10.2268,-528.109,31294.2,14700.5,1603.98,-482.164,430.743,0,60
44619,834.25,772.65,756.65,759.86,780.85,-51.27,-920.9,464.84,-2.87,1.79,-1.03,8925,0,46.4171,10.7673,-503.755,30284.2,13494.3,1311.86,-483.213,429.883,0,60
44650,830.25,771.4,756.62,759.44,779.43,-51.76,-910.64,456.05,-6.75,2.92,0.21,8931,0,42.8815,10.5576,-473.92,28974.4,12514.6,1150.35,-483.593,428.862,0,60
44681,825.68,770.03,756.57,759.1,777.85,-30.27,-916.5,455.08,-6.5,1.23,1.05,8937,0,38.1896,9.73026,-430.5,26462,11128.9,637.208,-484.149,428.533,0,60
44712,821.98,769.16,756.54,758.88,776.64,-54.2,-903.32,460.45,-7.11,-1.09,2.41,8943,0,31.1208,7.88899,-385.188,24221.8,9782.21,253.331,-484.604,427.116,0,60
44743,818.33,768.72,756.5,758.67,775.56,-58.11,-916.02,473.63,-6.66,3.09,0.23,8950,0,22.9102,4.07488,-335.826,21808.1,8176.04,-224.25,-485.653,425.059,0,60
44774,815.04,768.44,756.43,758.57,774.62,-55.18,-916.5,450.2,-6.27,5.69,0.16,8956,0,19.4394,1.87278,-305.643,20291,7329.2,-291.635,-486.02,423.611,0,60
44805,812.37,768.08,756.39,758.47,773.83,-47.85,-926.76,448.73,-5.26,1.81,2.42,8962,0,18.5192,1.89007,-280.83,18611.2,6769.15,-384.126,-485.896,423.729,0,60
44836,810.85,767.61,756.37,758.27,773.28,-52.73,-919.92,448.73,-0.98,0.44,3.03,8968,0,18.0353,2.40345,-261.271,17130.7,6421.45,-518.686,-485.422,424.433,0,60
44867,809.76,767.22,756.33,758.14,772.86,-65.43,-915.04,456.54,-3.11,-0.66,2.78,8974,0,16.8785,1.7498,-245.75,16211.8,5986.03,-664.558,-485.642,424.031,0,60
44898,808.96,767.09,756.37,757.96,772.59,-47.85,-925.29,441.41,-3.53,0.82,-0.49,8981,0,14.0568,0.266822,-234.306,15805.9,5556.4,-708.373,-486.286,422.541,0,60
44929,808.65,766.97,756.36,757.83,772.45,-56.64,-913.09,432.13,-2.35,-2.72,0.71,8987,0,13.0116,0.193465,-225.637,15696.3,5321.64,-552.8,-486.415,420.435,0,60
44959,808.88,766.73,756.28,757.66,772.39,-54.69,-937.99,417.97,-2.38,2.24,-0.9,8993,0,13.3545,0.797755,-221.007,15450.3,5335.9,-594.509,-485.857,420.091,0,60
