currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.00,14.81,14.61,14.69,15.09,14.80,-40.04,-809.57,624.51,-0.41,-0.33,-0.04
31.00,14.81,14.61,14.69,15.09,14.80,-45.90,-826.17,618.65,-0.66,1.84,-0.34
62.00,14.81,14.61,14.69,15.10,14.80,-48.34,-820.80,606.45,-1.24,2.81,-0.69
93.00,14.82,14.61,14.69,15.11,14.81,-44.43,-796.87,614.75,0.56,-0.14,0.90
123.00,14.82,14.61,14.69,15.11,14.81,-40.53,-808.11,618.65,2.12,-1.69,1.16
154.00,14.82,14.61,14.69,15.12,14.81,-49.80,-816.89,617.19,0.27,-1.76,1.41
185.00,14.82,14.61,14.69,15.12,14.81,-39.06,-831.54,618.65,0.79,-1.53,-1.85
215.00,14.82,14.61,14.69,15.13,14.81,-41.50,-814.94,629.88,2.01,-0.58,-1.92
246.00,14.82,14.61,14.69,15.13,14.81,-37.11,-807.62,623.05,0.51,-2.06,0.47
277.00,14.82,14.61,14.69,15.12,14.81,-58.59,-821.29,622.07,-1.97,-0.41,2.33
308.00,14.82,14.61,14.69,15.11,14.81,-41.99,-811.52,625.00,-1.62,-0.74,-0.82
339.00,14.82,14.61,14.69,15.12,14.81,-37.11,-820.31,629.88,-2.80,-1.57,-0.11
370.00,14.82,14.61,14.69,15.12,14.81,-36.13,-811.52,613.28,-0.07,-0.34,-0.08
401.00,14.82,14.61,14.69,15.12,14.81,-51.76,-818.36,634.28,1.93,-3.26,1.05
432.00,14.82,14.61,14.69,15.12,14.81,-25.88,-822.75,629.88,0.86,-1.52,-2.47
463.00,14.83,14.61,14.69,15.12,14.81,-31.25,-821.29,623.54,3.46,0.60,-2.77
494.00,14.83,14.61,14.69,15.12,14.81,-38.57,-787.11,629.88,1.43,-2.12,-0.82
525.00,14.82,14.61,14.69,15.12,14.81,-44.92,-798.83,647.46,-2.53,0.64,0.18
555.00,14.82,14.61,14.69,15.13,14.81,-40.53,-822.75,613.77,-1.48,1.15,-1.11
586.00,14.82,14.61,14.69,15.13,14.81,-46.88,-824.22,630.86,1.66,-0.25,0.02
617.00,14.82,14.61,14.69,15.14,14.81,-41.99,-809.57,635.74,-1.58,-0.15,-2.03
648.00,14.82,14.61,14.69,15.15,14.82,-35.16,-807.62,628.42,-0.85,-1.41,-0.93
679.00,14.82,14.61,14.69,15.16,14.82,-45.41,-811.52,616.21,1.44,-0.56,0.44
710.00,14.81,14.61,14.69,15.16,14.82,-42.97,-810.55,625.49,0.06,1.53,-1.02
741.00,14.82,14.61,14.69,15.16,14.82,-35.64,-805.18,622.07,0.59,-0.40,-0.66
772.00,14.82,14.61,14.69,15.17,14.82,-55.66,-811.04,619.63,-0.99,3.76,-1.78
803.00,14.82,14.61,14.69,15.17,14.82,-40.53,-818.36,627.93,0.27,-0.50,-0.85
834.00,14.82,14.61,14.69,15.17,14.82,-46.39,-811.52,624.02,-0.53,-1.36,2.86
865.00,14.83,14.61,14.69,15.17,14.82,-49.80,-802.25,630.37,-1.26,-2.71,2.24
896.00,14.83,14.61,14.69,15.17,14.82,-41.99,-815.92,628.42,-0.21,-2.75,0.79
927.00,14.83,14.61,14.69,15.17,14.83,-46.39,-802.73,627.44,-0.43,-2.44,-1.61
958.00,14.83,14.61,14.69,15.16,14.82,-45.90,-815.43,619.63,-4.05,0.75,-0.79
988.00,14.83,14.61,14.69,15.16,14.82,-34.67,-812.01,624.51,-0.12,-0.05,-0.30
1019.00,14.83,14.61,14.69,15.15,14.82,-52.25,-820.80,624.02,1.01,0.27,0.05
1050.00,14.84,14.61,14.69,15.15,14.82,-38.57,-809.08,621.58,-1.61,2.94,0.60
1081.00,14.84,14.61,14.69,15.15,14.82,-41.50,-818.85,633.79,-0.56,1.40,-1.72
1112.00,14.84,14.61,14.69,15.14,14.82,-38.57,-820.31,623.05,-2.72,0.04,-1.51
1143.00,14.84,14.61,14.69,15.13,14.82,-44.92,-815.92,623.54,-1.61,1.37,-2.01
1174.00,14.85,14.62,14.69,15.12,14.82,-41.50,-823.73,613.28,0.29,-0.78,-1.21
1205.00,14.85,14.61,14.69,15.10,14.82,-30.27,-814.94,614.75,-1.15,-0.61,-0.68
1236.00,14.85,14.62,14.70,15.09,14.81,-41.50,-812.99,624.51,-3.19,1.60,1.35
1267.00,14.86,14.62,14.69,15.08,14.81,-37.11,-824.22,606.45,-2.24,2.42,-2.73
1298.00,14.86,14.62,14.70,15.08,14.81,-42.48,-815.92,624.02,-0.93,3.06,-1.82
1329.00,14.86,14.62,14.70,15.08,14.81,-55.66,-825.68,623.05,-0.54,4.59,-1.53
1360.00,14.86,14.62,14.70,15.08,14.81,-41.50,-820.31,608.40,-0.82,0.21,2.13
1391.00,14.87,14.62,14.70,15.09,14.82,-41.50,-811.52,628.42,-2.18,1.26,0.00
1421.00,14.87,14.62,14.70,15.10,14.82,-54.69,-817.87,616.21,-2.92,0.45,1.76
1451.00,14.87,14.62,14.70,15.11,14.82,-52.73,-826.66,613.77,-0.59,2.83,0.47
1482.00,14.87,14.62,14.70,15.11,14.83,-36.62,-817.87,612.30,-0.23,-0.09,1.34
1512.00,14.87,14.62,14.70,15.12,14.83,-54.69,-830.57,611.33,-1.45,2.21,-1.59
1542.00,14.87,14.62,14.70,15.12,14.83,-50.29,-815.92,603.52,1.87,0.56,-0.53
1573.00,14.87,14.62,14.70,15.12,14.83,-42.97,-822.75,618.65,0.77,0.11,-1.42
1603.00,14.87,14.62,14.70,15.13,14.83,-51.76,-815.43,613.77,-0.71,3.01,-1.61
1634.00,14.87,14.62,14.70,15.13,14.83,-54.69,-828.12,621.58,-3.37,-0.85,-0.85
1665.00,14.87,14.62,14.70,15.14,14.83,-43.95,-825.20,594.73,0.57,0.93,-0.47
1695.00,14.88,14.62,14.70,15.14,14.83,-48.83,-827.15,610.84,-1.17,1.04,-0.46
1726.00,14.88,14.62,14.70,15.13,14.83,-46.39,-812.99,618.16,-1.40,0.13,-0.73
1757.00,14.87,14.62,14.70,15.13,14.83,-45.41,-810.55,607.42,-0.26,0.96,-0.49
1787.00,14.87,14.62,14.70,15.13,14.83,-37.11,-811.52,618.65,-0.18,2.41,1.13
1818.00,14.87,14.62,14.70,15.13,14.83,-41.99,-815.43,613.28,-0.13,-1.41,-0.31
1849.00,14.87,14.62,14.70,15.13,14.83,-39.06,-821.78,622.56,-0.63,0.08,2.45
1880.00,14.87,14.62,14.70,15.14,14.83,-44.43,-825.68,619.63,1.27,0.79,-2.69
1911.00,14.87,14.62,14.70,15.13,14.83,-39.06,-819.82,622.56,-1.51,1.07,-0.93
1942.00,14.87,14.62,14.70,15.14,14.83,-39.06,-829.59,619.63,-0.27,1.64,2.10
1973.00,14.86,14.62,14.70,15.15,14.83,-41.99,-819.82,615.72,2.00,-0.94,-0.24
2004.00,14.86,14.62,14.70,15.17,14.84,-54.69,-825.20,622.07,2.61,1.85,-1.26
2034.00,14.86,14.62,14.70,15.17,14.84,-50.29,-833.98,632.81,-1.05,0.40,-1.08
2065.00,14.86,14.62,14.70,15.17,14.84,-53.22,-823.24,619.63,-2.37,-0.43,-1.24
2096.00,14.86,14.62,14.70,15.17,14.84,-39.55,-829.59,604.98,-0.77,0.53,1.00
2127.00,14.85,14.62,14.70,15.16,14.83,-49.32,-834.47,606.93,2.04,0.61,3.22
2158.00,14.86,14.62,14.70,15.16,14.83,-40.04,-814.94,607.42,1.91,0.09,-2.60
2189.00,14.86,14.62,14.70,15.16,14.83,-49.32,-822.75,621.09,0.25,1.20,-0.24
2220.00,14.86,14.62,14.70,15.16,14.83,-56.15,-822.75,613.77,0.24,-0.24,-1.19
2251.00,14.86,14.62,14.70,15.15,14.83,-57.62,-821.29,606.45,-0.53,-1.30,-0.94
2282.00,14.85,14.62,14.70,15.13,14.82,-45.41,-828.12,615.23,-2.00,-3.27,-0.40
2313.00,14.85,14.62,14.70,15.11,14.82,-43.95,-824.22,614.75,-2.15,0.03,-3.38
2344.00,14.85,14.62,14.70,15.10,14.82,-44.92,-822.75,619.14,-1.37,-1.42,-0.53
2375.00,14.85,14.62,14.70,15.09,14.81,-41.50,-809.57,610.84,-1.31,-2.40,-1.34
2406.00,14.85,14.62,14.70,15.08,14.81,-48.34,-815.43,602.05,-0.12,-3.23,-2.17
