Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,currTime
1,0,0,0,0,0,0,0,0,0,0,5
2,0,0,0,0,0,0,0,0,0,0,10
3,0,0,0,0,0,0,0,0,0,0,15
4,0,0,0,0,0,0,0,0,0,0,20
5,0,0,0,0,0,0,0,0,0,0,25
6,0,0,0,0,0,0,0,0,0,0,30
7,0,0,0,0,0,0,0,0,0,0,35
8,0,0,0,0,0,0,0,0,0,0,40
9,0,0,0,0,0,0,0,0,0,0,45
10,0,0,0,0,0,0,0,0,0,0,50
11,0,0,0,0,0,0,0,0,0,0,55
12,0,0,0,0,0,0,0,0,0,0,60
13,0,0,0,0,0,0,0,0,0,0,65
14,0,0,0,0,0,0,0,0,0,0,70
15,0,0,0,0,0,0,0,0,0,0,75
16,0,0,0,0,0,0,0,0,0,0,80
17,0,0,0,0,0,0,0,0,0,0,85
18,0,0,0,0,0,0,0,0,0,0,90
19,0,0,0,0,0,0,0,0,0,0,95
20,0,0,0,0,0,0,0,0,0,0,100
21,0,0,0,0,0,0,0,0,0,0,105
22,0,0,0,0,0,0,0,0,0,0,110
23,0,0,0,0,0,0,0,0,0,0,115
24,0,0,0,0,0,0,0,0,0,0,120
25,0,0,0,0,0,0,0,0,0,0,125
26,0,0,0,0,0,0,0,0,0,0,130
27,0,0,0,0,0,0,0,0,0,0,135
28,0,0,0,0,0,0,0,0,0,0,140
29,0,0,0,0,0,0,0,0,0,0,145
30,0,0,0,0,0,0,0,0,0,0,150
31,0,0,0,0,0,0,0,0,0,0,155
32,0,0,0,0,0,0,0,0,0,0,160
33,0,0,0,0,0,0,0,0,0,0,165
34,0,0,0,0,0,0,0,0,0,0,170
35,0,0,0,0,0,0,0,0,0,0,175
36,0,0,0,0,0,0,0,0,0,0,180
37,0,0,0,0,0,0,0,0,0,0,185
38,0,0,0,0,0,0,0,0,0,0,190
39,0,0,0,0,0,0,0,0,0,0,195
40,0,0,0,0,0,0,0,0,0,0,200
41,0,0,0,0,0,0,0,0,0,0,205
42,0,0,0,0,0,0,0,0,0,0,210
43,0,0,0,0,0,0,0,0,0,0,215
44,0,0,0,0,0,0,0,0,0,0,220
45,0,0,0,0,0,0,0,0,0,0,225
46,0,0,0,0,0,0,0,0,0,0,230
47,0,0,0,0,0,0,0,0,0,0,235
48,0,0,0,0,0,0,0,0,0,0,240
49,0,0,0,0,0,0,0,0,0,0,245
50,0,0,0,0,0,0,0,0,0,0,250
51,0,0,0,0,0,0,0,0,0,0,255
52,0,0,0,0,0,0,0,0,0,0,260
53,0,0,0,0,0,0,0,0,0,0,265
54,0,0,0,0,0,0,0,0,0,0,270
55,0,0,0,0,0,0,0,0,0,0,275
56,0,0,0,0,0,0,0,0,0,0,280
57,0,0,0,0,0,0,0,0,0,0,285
58,0,0,0,0,0,0,0,0,0,0,290
59,0,0,0,0,0,0,0,0,0,0,295
60,0,0,0,0,0,0,0,0,0,0,300
61,0,0,0,0,0,0,0,0,0,0,305
62,0,0,0,0,0,0,0,0,0,0,310
63,0,0,0,0,0,0,0,0,0,0,315
64,0,0,0,0,0,0,0,0,0,0,320
65,0,0,0,0,0,0,0,0,0,0,325
66,0,0,0,0,0,0,0,0,0,0,330
67,0,0,0,0,0,0,0,0,0,0,335
68,0,0,0,0,0,0,0,0,0,0,340
69,0,0,0,0,0,0,0,0,0,0,345
70,0,0,0,0,0,0,0,0,0,0,350
71,0,0,0,0,0,0,0,0,0,0,355
72,0,0,0,0,0,0,0,0,0,0,360
73,0,0,0,0,0,0,0,0,0,0,365
74,0,0,0,0,0,0,0,0,0,0,370
75,0,0,0,0,0,0,0,0,0,0,375
76,0,0,0,0,0,0,0,0,0,0,380
77,0,0,0,0,0,0,0,0,0,0,385
78,0,0,0,0,0,0,0,0,0,0,390
79,0,0,0,0,0,0,0,0,0,0,395
80,0,0,0,0,0,0,0,0,0,0,400
81,0,0,0,0,0,0,0,0,0,0,405
82,0,0,0,0,0,0,0,0,0,0,410
83,0,0,0,0,0,0,0,0,0,0,415
84,0,0,0,0,0,0,0,0,0,0,420
85,0,0,0,0,0,0,0,0,0,0,425
86,0,0,0,0,0,0,0,0,0,0,430
87,0,0,0,0,0,0,0,0,0,0,435
88,0,0,0,0,0,0,0,0,0,0,440
89,0,0,0,0,0,0,0,0,0,0,445
90,0,0,0,0,0,0,0,0,0,0,450
91,0,0,0,0,0,0,0,0,0,0,455
92,0,0,0,0,0,0,0,0,0,0,460
93,0,0,0,0,0,0,0,0,0,0,465
94,0,0,0,0,0,0,0,0,0,0,470
95,0,0,0,0,0,0,0,0,0,0,475
96,0,0,0,0,0,0,0,0,0,0,480
97,0,0,0,0,0,0,0,0,0,0,485
98,0,0,0,0,0,0,0,0,0,0,490
99,0,0,0,0,0,0,0,0,0,0,495
100,0,0,0,0,0,0,0,0,0,0,500
101,0,0,0,0,0,0,0,0,0,0,505
102,0,0,0,0,0,0,0,0,0,0,510
103,0,0,0,0,0,0,0,0,0,0,515
104,0,0,0,0,0,0,0,0,0,0,520
105,0,0,0,0,0,0,0,0,0,0,525
106,0,0,0,0,0,0,0,0,0,0,530
107,0,0,0,0,0,0,0,0,0,0,535
108,0,0,0,0,0,0,0,0,0,0,540
109,0,0,0,0,0,0,0,0,0,0,545
110,0,0,0,0,0,0,0,0,0,0,550
111,0,0,0,0,0,0,0,0,0,0,555
112,0,0,0,0,0,0,0,0,0,0,560
113,0,0,0,0,0,0,0,0,0,0,565
114,0,0,0,0,0,0,0,0,0,0,570
115,0,0,0,0,0,0,0,0,0,0,575
116,0,0,0,0,0,0,0,0,0,0,580
117,0,0,0,0,0,0,0,0,0,0,585
118,0,0,0,0,0,0,0,0,0,0,590
119,0,0,0,0,0,0,0,0,0,0,595
120,0,0,0,0,0,0,0,0,0,0,600
121,0,0,0,0,0,0,0,0,0,0,605
122,0,0,0,0,0,0,0,0,0,0,610
123,0,0,0,0,0,0,0,0,0,0,615
124,0,0,0,0,0,0,0,0,0,0,620
125,0,0,0,0,0,0,0,0,0,0,625
126,0,0,0,0,0,0,0,0,0,0,630
127,0,0,0,0,0,0,0,0,0,0,635
128,0,0,0,0,0,0,0,0,0,0,640
129,0,0,0,0,0,0,0,0,0,0,645
130,0,0,0,0,0,0,0,0,0,0,650
131,0,0,0,0,0,0,0,0,0,0,655
132,0,0,0,0,0,0,0,0,0,0,660
133,0,0,0,0,0,0,0,0,0,0,665
134,0,0,0,0,0,0,0,0,0,0,670
135,0,0,0,0,0,0,0,0,0,0,675
136,0,0,0,0,0,0,0,0,0,0,680
137,0,0,0,0,0,0,0,0,0,0,685
138,0,0,0,0,0,0,0,0,0,0,690
139,0,0,0,0,0,0,0,0,0,0,695
140,0,0,0,0,0,0,0,0,0,0,700
141,0,0,0,0,0,0,0,0,0,0,705
142,0,0,0,0,0,0,0,0,0,0,710
143,0,0,0,0,0,0,0,0,0,0,715
144,0,0,0,0,0,0,0,0,0,0,720
145,0,0,0,0,0,0,0,0,0,0,725
146,0,0,0,0,0,0,0,0,0,0,730
147,0,0,0,0,0,0,0,0,0,0,735
148,0,0,0,0,0,0,0,0,0,0,740
149,0,0,0,0,0,0,0,0,0,0,745
150,0,0,0,0,0,0,0,0,0,0,750
151,0,0,0,0,0,0,0,0,0,0,755
152,0,0,0,0,0,0,0,0,0,0,760
153,0,0,0,0,0,0,0,0,0,0,765
154,0,0,0,0,0,0,0,0,0,0,770
155,0,0,0,0,0,0,0,0,0,0,775
156,0,0,0,0,0,0,0,0,0,0,780
157,0,0,0,0,0,0,0,0,0,0,785
158,0,0,0,0,0,0,0,0,0,0,790
159,0,0,0,0,0,0,0,0,0,0,795
160,0,0,0,0,0,0,0,0,0,0,800
161,0,0,0,0,0,0,0,0,0,0,805
162,0,0,0,0,0,0,0,0,0,0,810
163,0,0,0,0,0,0,0,0,0,0,815
164,0,0,0,0,0,0,0,0,0,0,820
165,0,0,0,0,0,0,0,0,0,0,825
166,0,0,0,0,0,0,0,0,0,0,830
167,0,0,0,0,0,0,0,0,0,0,835
168,0,0,0,0,0,0,0,0,0,0,840
169,0,0,0,0,0,0,0,0,0,0,845
170,0,0,0,0,0,0,0,0,0,0,850
171,0,0,0,0,0,0,0,0,0,0,855
172,0,0,0,0,0,0,0,0,0,0,860
173,0,0,0,0,0,0,0,0,0,0,865
174,0,0,0,0,0,0,0,0,0,0,870
175,0,0,0,0,0,0,0,0,0,0,875
176,0,0,0,0,0,0,0,0,0,0,880
177,0,0,0,0,0,0,0,0,0,0,885
178,0,0,0,0,0,0,0,0,0,0,890
179,0,0,0,0,0,0,0,0,0,0,895
180,0,0,0,0,0,0,0,0,0,0,900
181,0,0,0,0,0,0,0,0,0,0,905
182,0,0,0,0,0,0,0,0,0,0,910
183,0,0,0,0,0,0,0,0,0,0,915
184,0,0,0,0,0,0,0,0,0,0,920
185,0,0,0,0,0,0,0,0,0,0,925
186,0,0,0,0,0,0,0,0,0,0,930
187,0,0,0,0,0,0,0,0,0,0,935
188,0,0,0,0,0,0,0,0,0,0,940
189,0,0,0,0,0,0,0,0,0,0,945
190,0,0,0,0,0,0,0,0,0,0,950
191,0,0,0,0,0,0,0,0,0,0,955
192,0,0,0,0,0,0,0,0,0,0,960
193,0,0,0,0,0,0,0,0,0,0,965
194,0,0,0,0,0,0,0,0,0,0,970
195,0,0,0,0,0,0,0,0,0,0,975
196,0,0,0,0,0,0,0,0,0,0,980
197,0,0,0,0,0,0,0,0,0,0,985
198,0,0,0,0,0,0,0,0,0,0,990
199,0,0,0,0,0,0,0,0,0,0,995
200,0,0,0,0,0,0,0,0,0,0,1000
201,0,0,0,0,0,0,0,0,0,0,1005
202,0,0,0,0,0,0,0,0,0,0,1010
203,0,0,0,0,0,0,0,0,0,0,1015
204,0,0,0,0,0,0,0,0,0,0,1020
205,0,0,0,0,0,0,0,0,0,0,1025
206,0,0,0,0,0,0,0,0,0,0,1030
207,0,0,0,0,0,0,0,0,0,0,1035
208,0,0,0,0,0,0,0,0,0,0,1040
209,0,0,0,0,0,0,0,0,0,0,1045
210,0,0,0,0,0,0,0,0,0,0,1050
211,0,0,0,0,0,0,0,0,0,0,1055
212,0,0,0,0,0,0,0,0,0,0,1060
213,0,0,0,0,0,0,0,0,0,0,1065
214,0,0,0,0,0,0,0,0,0,0,1070
215,0,0,0,0,0,0,0,0,0,0,1075
216,0,0,0,0,0,0,0,0,0,0,1080
217,0,0,0,0,0,0,0,0,0,0,1085
218,0,0,0,0,0,0,0,0,0,0,1090
219,0,0,0,0,0,0,0,0,0,0,1095
220,0,0,0,0,0,0,0,0,0,0,1100
221,0,0,0,0,0,0,0,0,0,0,1105
222,0,0,0,0,0,0,0,0,0,0,1110
223,0,0,0,0,0,0,0,0,0,0,1115
224,0,0,0,0,0,0,0,0,0,0,1120
225,0,0,0,0,0,0,0,0,0,0,1125
226,0,0,0,0,0,0,0,0,0,0,1130
227,0,0,0,0,0,0,0,0,0,0,1135
228,0,0,0,0,0,0,0,0,0,0,1140
229,0,0,0,0,0,0,0,0,0,0,1145
