currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,761.27,766.72,757.71,759.06,761.19,-77.64,-923.34,422.36,1.13,3.99,-3.47
54,761.31,766.73,757.72,759.08,761.21,-66.89,-933.59,425.29,-2.16,-0.69,-0.53
84,761.37,766.73,757.71,759.02,761.21,-92.77,-931.64,421.87,1.73,-0.51,-1.85
115,761.33,766.75,757.73,759.06,761.22,-79.10,-930.18,415.53,-1.86,-0.52,-0.08
146,761.34,766.69,757.69,759.10,761.20,-79.10,-920.90,415.04,-0.73,0.26,-1.51
176,761.43,766.75,757.74,759.07,761.25,-63.48,-915.53,416.02,-1.05,0.59,1.40
207,761.38,766.78,757.68,759.13,761.24,-67.87,-936.04,426.27,0.69,3.18,0.95
238,761.32,766.78,757.72,759.02,761.21,-75.68,-925.78,421.87,1.38,0.40,0.93
269,761.37,766.85,757.71,759.10,761.26,-75.20,-935.55,416.99,0.13,1.12,-2.57
300,761.33,766.79,757.71,759.04,761.22,-79.10,-931.15,410.16,-0.67,0.71,0.85
331,761.39,766.73,757.74,759.03,761.22,-70.80,-929.20,420.41,0.15,1.20,-2.44
362,761.37,766.78,757.74,759.03,761.23,-67.38,-931.64,416.99,0.15,1.03,0.45
393,761.38,766.75,757.77,759.07,761.24,-77.64,-924.32,419.92,-1.14,-1.69,1.15
424,761.33,766.75,757.74,759.03,761.21,-74.22,-923.34,419.92,0.29,-1.37,-1.43
455,761.39,766.75,757.73,759.08,761.24,-87.40,-923.34,420.90,-0.35,-0.54,2.28
486,761.39,766.82,757.74,759.01,761.24,-64.94,-928.22,410.16,0.61,0.47,-0.57
517,761.36,766.78,757.81,759.02,761.24,-80.57,-931.64,417.97,0.03,0.52,-1.56
548,761.41,766.76,757.76,758.96,761.22,-72.75,-929.69,424.32,-0.18,-2.95,-0.86
579,761.35,766.74,757.76,759.00,761.21,-62.99,-922.85,422.36,0.24,0.47,-0.60
610,761.45,766.67,757.74,759.02,761.22,-81.54,-925.78,428.22,0.19,0.11,0.91
641,761.41,766.82,757.78,759.02,761.26,-70.80,-930.18,426.27,0.07,0.76,0.39
672,761.40,766.77,757.80,758.96,761.23,-69.34,-921.87,420.41,-1.21,2.18,-0.50
703,761.40,766.75,757.78,759.01,761.24,-71.78,-927.25,415.53,1.44,-0.56,-0.02
734,761.43,766.73,757.74,759.04,761.23,-75.20,-927.73,418.95,-0.58,-1.42,-0.47
765,761.40,766.73,757.80,759.08,761.25,-69.34,-917.48,424.80,0.73,-1.27,-0.29
796,761.41,766.68,757.69,758.96,761.18,-78.12,-930.18,421.39,1.08,-0.55,-0.89
827,761.47,766.73,757.81,759.02,761.26,-84.47,-929.69,412.60,-3.34,-0.51,0.80
858,761.43,766.76,757.77,758.98,761.23,-56.15,-927.73,417.97,0.05,-0.36,-1.08
889,761.43,766.78,757.81,758.98,761.25,-82.03,-936.04,423.83,-0.02,-0.55,0.49
920,761.42,766.73,757.79,758.98,761.23,-66.89,-919.43,431.64,0.66,0.24,-3.63
