Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
1,0,6.59158,6.40099,-69.8931,6858.48,291.916,342.795,-494.824,-98.1269,0
2,0,6.45084,6.34142,-69.7778,6804.73,245.691,336.798,-495.478,-97.518,0
3,0,6.5206,6.46553,-70.0964,6917.7,232.201,319.311,-495.688,-98.6884,0
4,0,6.69318,6.33947,-70.2344,6900.65,287.619,323.983,-494.906,-98.2532,0
5,0,6.79187,6.35066,-70.2647,6859.18,318.6,374.634,-494.468,-97.6234,0
6,0,6.75646,6.44327,-69.7784,6948.2,266.184,347.615,-495.185,-99.5752,0
7,0,6.4727,6.36187,-69.8551,6994.74,268.398,309.015,-495.158,-100.133,0
8,0,6.6535,6.20466,-70.0515,6926.64,280.317,377.724,-494.998,-98.8792,0
9,0,6.50774,6.07299,-70.043,6811.13,363.723,404.863,-493.807,-97.2422,0
10,0,6.41866,6.08652,-70.0198,6888.9,351.214,359.635,-493.984,-98.3854,0
11,0,6.4537,6.13282,-69.9792,6922.01,310.413,325.682,-494.564,-98.9158,0
12,0,6.57178,6.02302,-69.9074,6821.12,307.513,361.766,-494.601,-97.5743,0
13,0,6.37784,6.11796,-69.6677,6841.87,312.176,343.787,-494.519,-98.2058,0
14,0,6.35338,6.49273,-70.0865,6922.62,312.582,356.155,-494.54,-98.7738,0
15,0,6.36864,6.41355,-70.2065,6912.63,326.994,455.114,-494.341,-98.4644,0
16,0,6.57793,6.41351,-70.0138,6940.03,332.299,420.033,-494.25,-99.1298,0
17,0,6.45461,6.32802,-70.4563,6847.53,260.535,389.808,-495.301,-97.1876,0
18,0,6.31264,6.10473,-69.9232,6791.01,297.008,405.225,-494.752,-97.1211,0
19,0,6.46405,6.24843,-69.7624,6834.47,341.448,432.31,-494.106,-97.9685,0
20,0,6.56023,6.3846,-69.6186,6891.58,320.742,504.78,-494.392,-98.9877,0
21,0,6.67398,6.41023,-70.001,7021.05,299.864,541.935,-494.716,-100.299,0
22,0,6.70943,6.45737,-70.0708,6953.91,261.151,446.436,-495.273,-99.2411,0
23,0,6.65741,6.19663,-70.0214,6842.82,225.404,440.171,-495.78,-97.7243,0
