currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
23,761.27,766.72,757.71,759.06,761.19,-77.64,-923.34,422.36,1.13,3.99,-3.47,6,0,6.75646,6.44327,-69.7784,6948.2,266.184,347.615,-495.185,-99.5752,0,72
54,761.31,766.73,757.72,759.08,761.21,-66.89,-933.59,425.29,-2.16,-0.69,-0.53,12,0,6.57178,6.02302,-69.9074,6821.12,307.513,361.766,-494.601,-97.5743,0,72
84,761.37,766.73,757.71,759.02,761.21,-92.77,-931.64,421.87,1.73,-0.51,-1.85,18,0,6.31264,6.10473,-69.9232,6791.01,297.008,405.225,-494.752,-97.1211,0,72
115,761.33,766.75,757.73,759.06,761.22,-79.1,-930.18,415.53,-1.86,-0.52,-0.08,24,0,6.62014,6.13136,-70.0002,6813.86,306.248,486.973,-494.625,-97.3395,0,72
146,761.34,766.69,757.69,759.1,761.2,-79.1,-920.9,415.04,-0.73,0.26,-1.51,30,0,6.41306,6.14139,-70.1367,6840.02,310.073,581.105,-494.58,-97.5252,0,72
176,761.43,766.75,757.74,759.07,761.25,-63.48,-915.53,416.02,-1.05,0.59,1.4,36,0,6.66513,6.23091,-70.2017,6940.91,232.317,475.895,-495.691,-98.8704,0,72
207,761.38,766.78,757.68,759.13,761.24,-67.87,-936.04,426.27,0.69,3.18,0.95,42,0,6.43202,6.11508,-69.9567,6947.38,243,553.963,-495.527,-99.3098,0,72
238,761.32,766.78,757.72,759.02,761.21,-75.68,-925.78,421.87,1.38,0.4,0.93,49,0,6.25886,6.00265,-69.9623,6824.75,265.505,543.525,-495.205,-97.5507,0,72
269,761.37,766.85,757.71,759.1,761.26,-75.2,-935.55,416.99,0.13,1.12,-2.57,55,0,6.35558,5.89817,-69.737,6755.61,325.086,524.526,-494.338,-96.8724,0,72
300,761.33,766.79,757.71,759.04,761.22,-79.1,-931.15,410.16,-0.67,0.71,0.85,61,0,6.39984,6.05476,-70.0602,6843.4,265.703,538.664,-495.208,-97.6807,0,72
331,761.39,766.73,757.74,759.03,761.22,-70.8,-929.2,420.41,0.15,1.2,-2.44,67,0,6.21344,6.33475,-70.135,6836.41,239.6,495.838,-495.584,-97.4755,0,72
362,761.37,766.78,757.74,759.03,761.23,-67.38,-931.64,416.99,0.15,1.03,0.45,73,0,6.77766,6.62871,-70.2027,6895.51,297.146,441.534,-494.767,-98.2224,0,72
393,761.38,766.75,757.77,759.07,761.24,-77.64,-924.32,419.92,-1.14,-1.69,1.15,80,0,6.4705,6.25865,-70.1788,6858.77,268.659,485.028,-495.172,-97.7319,0,72
424,761.33,766.75,757.74,759.03,761.21,-74.22,-923.34,419.92,0.29,-1.37,-1.43,86,0,6.64526,6.03746,-70.3304,6907.73,269.423,451.886,-495.169,-98.2181,0,72
455,761.39,766.75,757.73,759.08,761.24,-87.4,-923.34,420.9,-0.35,-0.54,2.28,92,0,6.80121,6.45385,-70.3345,6966.74,206.759,548.188,-496.06,-99.051,0,72
486,761.39,766.82,757.74,759.01,761.24,-64.94,-928.22,410.16,0.61,0.47,-0.57,98,0,6.8471,6.20729,-70.2578,6950.08,236.526,446.311,-495.634,-98.9217,0,72
517,761.36,766.78,757.81,759.02,761.24,-80.57,-931.64,417.97,0.03,0.52,-1.56,104,0,7.09415,6.355,-70.2232,6944.12,239.827,459.293,-495.585,-98.8859,0,72
548,761.41,766.76,757.76,758.96,761.22,-72.75,-929.69,424.32,-0.18,-2.95,-0.86,111,0,6.72681,6.00786,-70.0541,6837.75,254.737,325.659,-495.363,-97.6067,0,72
579,761.35,766.74,757.76,759,761.21,-62.99,-922.85,422.36,0.24,0.47,-0.6,117,0,6.53512,6.01752,-70.2517,6840.55,284.727,335.107,-494.948,-97.3737,0,72
610,761.45,766.67,757.74,759.02,761.22,-81.54,-925.78,428.22,0.19,0.11,0.91,123,0,6.67607,5.97762,-70.1051,6839.5,245.66,424.48,-495.496,-97.5584,0,72
641,761.41,766.82,757.78,759.02,761.26,-70.8,-930.18,426.27,0.07,0.76,0.39,129,0,6.78787,6.1474,-70.2917,6979.9,261.094,389.773,-495.285,-99.3,0,72
672,761.4,766.77,757.8,758.96,761.23,-69.34,-921.87,420.41,-1.21,2.18,-0.5,135,0,7.02238,6.2659,-70.2478,6991.75,255.906,364.77,-495.357,-99.5298,0,72
703,761.4,766.75,757.78,759.01,761.24,-71.78,-927.25,415.53,1.44,-0.56,-0.02,142,0,6.85977,6.22555,-70.1986,6983.79,187.08,495.574,-496.336,-99.4869,0,72
734,761.43,766.73,757.74,759.04,761.23,-75.2,-927.73,418.95,-0.58,-1.42,-0.47,148,0,7.12843,6.13009,-70.5667,6914.54,212.271,526.273,-495.992,-97.9854,0,72
765,761.4,766.73,757.8,759.08,761.25,-69.34,-917.48,424.8,0.73,-1.27,-0.29,154,0,6.99001,6.06971,-70.4966,6856.65,251.492,614.296,-495.432,-97.2609,0,72
796,761.41,766.68,757.69,758.96,761.18,-78.12,-930.18,421.39,1.08,-0.55,-0.89,160,0,6.76434,6.02361,-70.4228,6850.53,289.406,428.746,-494.89,-97.2772,0,72
827,761.47,766.73,757.81,759.02,761.26,-84.47,-929.69,412.6,-3.34,-0.51,0.8,166,0,6.77768,5.89489,-70.2711,6848.2,274.561,456.397,-495.09,-97.4509,0,72
858,761.43,766.76,757.77,758.98,761.23,-56.15,-927.73,417.97,0.05,-0.36,-1.08,173,0,7.22704,6.08398,-70.4208,6922.07,255.059,578.258,-495.378,-98.2958,0,72
889,761.43,766.78,757.81,758.98,761.25,-82.03,-936.04,423.83,-0.02,-0.55,0.49,179,0,7.24535,6.0715,-70.5207,6992.44,241.116,518.733,-495.581,-99.1575,0,72
920,761.42,766.73,757.79,758.98,761.23,-66.89,-919.43,431.64,0.66,0.24,-3.63,185,0,7.06727,6.17769,-70.2141,6975.27,240.681,453.431,-495.572,-99.3421,0,72
951,761.41,766.75,757.71,759.07,761.23,-69.82,-922.36,430.18,1.56,0.38,-2.76,191,0,7.06851,6.09782,-70.5904,6937.1,213.663,472.9,-495.973,-98.2728,0,72
982,761.4,766.76,757.8,759.11,761.27,-75.68,-924.8,421.87,0.73,1.11,-0.16,197,0,6.92016,6.04908,-70.5883,6828.23,276.548,462.805,-495.082,-96.7332,0,72
1013,761.37,766.78,757.72,759.04,761.23,-80.08,-919.92,421.39,-0.57,-0.43,1.69,204,0,7.13663,6.42608,-70.4989,7023.97,229.565,471,-495.743,-99.6322,0,72
1044,761.41,766.87,757.72,759.07,761.27,-73.73,-936.52,418.46,0.62,1.53,-1.18,210,0,6.94827,6.43871,-70.6703,6975.83,270.663,550.462,-495.17,-98.709,0,72
1075,761.42,766.76,757.8,759.17,761.29,-68.85,-929.69,425.29,-0.37,1.61,-2.34,216,0,6.97947,6.48374,-70.8418,7007.84,224.296,436.721,-495.834,-98.9223,0,72
1106,761.44,766.78,757.8,759.13,761.29,-72.75,-931.64,414.55,0.92,-1.4,-0.6,222,0,7.11026,6.21604,-70.7966,6993.92,253.322,450.039,-495.422,-98.7892,0,72
1137,761.42,766.77,757.72,759.09,761.25,-77.15,-913.57,432.62,2.21,-0.07,-0.86,228,0,6.58643,6.09734,-70.8212,6961.18,284.583,569.037,-494.982,-98.292,0,72
1168,761.36,766.74,757.78,759.07,761.23,-80.57,-929.69,420.41,-0.14,1,-1.56,235,0,7.00322,5.90538,-70.7714,6903.81,238.03,452.989,-495.637,-97.5515,0,72
1199,761.47,766.74,757.7,759.06,761.24,-78.12,-932.62,416.5,-0.96,-0.15,-0.52,241,0,7.14384,6.29122,-70.3918,7037.14,275.111,533.698,-495.091,-99.971,0,72
1230,761.47,766.78,757.67,759.05,761.24,-66.89,-939.45,423.34,-1.15,-0.19,-0.52,247,0,7.11508,5.72809,-70.4416,6812.45,289.978,548.824,-494.884,-96.7107,0,72
1261,761.36,766.78,757.76,759.11,761.25,-83.98,-919.92,417.97,0.43,-2.93,0.24,253,0,7.06667,6.25586,-70.4375,6982.67,258.865,467.542,-495.325,-99.1328,0,72
1292,761.38,766.77,757.83,759.08,761.27,-59.08,-931.15,419.92,1.16,0.17,-1.32,259,0,6.95439,6.35043,-70.3241,7000.07,252.426,500.022,-495.411,-99.5395,0,72
1323,761.41,766.71,757.8,759.08,761.25,-81.05,-933.11,410.64,0.21,1.56,-1.05,266,0,6.65271,6.15205,-70.5277,6846.61,250.94,469.169,-495.442,-97.0766,0,72
1354,761.37,766.75,757.76,759.15,761.26,-75.68,-924.8,416.99,0.56,-1.89,0.05,272,0,6.89892,6.12835,-70.3766,6853.34,290.423,489.426,-494.873,-97.3795,0,72
1385,761.41,766.71,757.73,759.09,761.24,-78.12,-942.87,420.9,0.31,1.08,-0.99,278,0,7.10575,6.2179,-70.5276,6908.67,258.073,568.805,-495.34,-97.9568,0,72
1415,761.37,766.77,757.78,759.08,761.25,-74.22,-938.48,417.48,-0.11,0.75,3.31,284,0,6.95938,6.04662,-70.5417,6882.19,275.222,534.186,-495.099,-97.5625,0,72
1446,761.42,766.74,757.79,759.11,761.27,-77.15,-931.15,419.43,-1.22,0.04,0.97,290,0,6.86741,6.27313,-69.9561,6886.54,258.896,525.217,-495.299,-98.441,0,72
1476,761.36,766.73,757.87,759.12,761.27,-80.08,-937.99,422.36,-0.07,0.3,1.31,296,0,7.0185,5.96242,-70.0987,6934.11,210.117,518.458,-496.003,-98.9208,0,72
1507,761.38,766.74,757.78,759.02,761.23,-75.68,-940.43,422.85,1.9,0.59,0.34,302,0,6.98543,5.80044,-70.3498,6860.67,220.345,522.428,-495.868,-97.5226,0,72
1537,761.42,766.71,757.78,759.14,761.26,-76.17,-923.83,421.39,-0.6,-1.01,0.09,308,0,7.03223,6.01213,-70.2459,6943.06,205.278,526.778,-496.078,-98.838,0,72
1568,761.37,766.67,757.72,759.13,761.22,-70.8,-923.83,427.73,-1.15,-1.23,-0.04,315,0,7.4345,5.75023,-70.3128,6797.18,209.273,573.484,-496.024,-96.6697,0,72
1598,761.33,766.66,757.83,759.08,761.23,-72.27,-937.01,423.83,-0.51,-1.29,-0.05,321,0,7.11402,5.68939,-70.242,6864.87,207.979,523.614,-496.039,-97.7313,0,72
1629,761.31,766.64,757.85,759.11,761.23,-65.92,-925.78,432.62,0.23,-0.59,-1.66,327,0,7.24574,5.76055,-70.3678,6853.78,195.782,547.151,-496.218,-97.3988,0,72
1660,761.36,766.7,757.83,759.1,761.25,-78.12,-938.48,414.55,1.53,-4.6,1.67,333,0,7.27355,5.71703,-70.267,6805.6,213.3,579.621,-495.965,-96.8539,0,72
1691,761.34,766.61,757.78,759.12,761.21,-78.61,-922.85,419.43,-1.73,-2.31,-2.12,339,0,7.4482,5.93011,-70.2309,6868.53,176.849,604.313,-496.482,-97.8,0,72
1721,761.39,766.71,757.83,759.08,761.25,-80.08,-933.59,420.9,2.29,-0.42,0.63,345,0,7.37322,5.78236,-70.4862,6757.77,173.91,546.023,-496.533,-95.8736,0,72
1752,761.33,766.6,757.87,759.15,761.24,-77.15,-929.69,420.41,-0.18,-0.37,-1.12,351,0,7.40941,5.8341,-70.3503,6787.49,182.856,558.952,-496.402,-96.4817,0,72
1782,761.31,766.6,757.78,759.21,761.23,-70.31,-934.57,413.09,0.73,-1.66,2.66,357,0,7.25932,5.92618,-70.1318,6704.57,153.822,586.339,-496.807,-95.5986,0,72
1813,761.33,766.61,757.81,759.19,761.24,-84.47,-925.29,426.27,1.08,1.27,-0.19,364,0,7.91742,5.84784,-70.4826,6786.05,115.167,742.904,-497.366,-96.2796,0,72
1844,761.33,766.62,757.82,759.23,761.25,-74.71,-934.08,433.59,0,0.83,0.63,370,0,7.2491,5.89145,-70.104,6764.31,168.588,597.53,-496.594,-96.4913,0,72
1875,761.41,766.61,757.84,759.21,761.27,-83.5,-928.71,426.27,0.87,0.59,0.15,376,0,7.53196,6.04416,-70.5785,6769.07,161.576,637.344,-496.712,-95.9121,0,72
1906,761.4,766.63,757.84,759.19,761.27,-77.64,-929.69,424.8,-1.17,0.27,0.1,382,0,7.6062,6.07918,-70.7907,6746.38,164.131,530.487,-496.681,-95.2975,0,72
1937,761.38,766.66,757.8,759.23,761.27,-81.54,-932.13,428.71,1.82,-2.31,-0.53,388,0,7.32686,5.92325,-70.9068,6810.01,139.247,418.961,-497.036,-96.0408,0,72
1968,761.38,766.61,757.84,759.12,761.24,-71.29,-928.71,418.95,-0.17,-1.85,-1.78,395,0,7.64148,6.03143,-71.4238,6842.58,140.209,509.937,-497.037,-95.8038,0,72
1999,761.44,766.68,757.79,759.19,761.27,-63.48,-930.18,415.04,-1.09,2.04,-1.16,401,0,7.83633,6.17662,-71.4568,6877.65,173.371,450.169,-496.574,-96.2495,0,72
2030,761.48,766.66,757.85,759.17,761.29,-69.82,-934.57,433.11,1.43,-0.16,0.12,407,0,7.91341,6.38406,-71.6652,6875,193.892,539.727,-496.295,-95.9327,0,72
2061,761.39,766.62,757.81,759.16,761.24,-77.64,-929.2,429.2,1.07,-1.19,0.68,413,0,7.97074,6.33448,-71.7556,6917.97,126.649,463.454,-497.235,-96.4104,0,72
2092,761.46,766.71,757.8,759.16,761.28,-71.78,-936.52,419.92,0.69,-0.38,1.42,419,0,7.80897,6.01831,-71.7583,6849.54,205.576,575.759,-496.135,-95.4527,0,72
2123,761.51,766.66,757.84,759.23,761.31,-74.22,-933.11,416.99,0.51,1.72,-1.32,426,0,7.93203,6.40431,-71.6891,6915.63,137.026,552.63,-497.089,-96.4668,0,72
2154,761.46,766.68,757.84,759.21,761.3,-76.17,-922.85,422.36,-0.29,-1.15,-1.85,432,0,7.60889,6.22528,-71.8623,7009.04,173.079,523,-496.591,-97.533,0,72
2185,761.45,766.64,757.81,759.17,761.27,-80.57,-932.13,419.92,0.79,-1.41,0.02,438,0,7.5768,6.59178,-71.471,7019.02,149.879,585.345,-496.903,-98.2063,0,72
2216,761.44,766.65,757.81,759.13,761.26,-78.12,-923.34,427.25,-2.43,1.95,-0.96,444,0,7.26542,6.32319,-71.3061,6890,172.705,550.258,-496.578,-96.6255,0,72
2247,761.47,766.63,757.78,759.2,761.27,-76.66,-936.04,412.6,-0.34,0.83,-1.44,450,0,7.33799,6.14053,-70.9485,6902.98,98.238,532.859,-497.615,-97.2947,0,72
2278,761.32,766.58,757.86,759.16,761.23,-72.75,-934.57,424.8,1.08,4,0.02,457,0,7.76965,6.05861,-71.0172,6848.81,146.507,620.087,-496.937,-96.4396,0,72
2309,761.4,766.61,757.76,759.14,761.23,-70.31,-928.71,428.22,-0.77,1.79,-0.99,463,0,7.52059,5.8795,-71.2198,6812.44,138.915,587.644,-497.049,-95.6543,0,72
2340,761.36,766.63,757.75,759.12,761.22,-75.68,-929.2,421.39,0.62,-1.44,0.22,469,0,7.57033,6.16348,-70.6735,6825.34,114.861,522.069,-497.375,-96.5743,0,72
2371,761.34,766.69,757.8,759.08,761.23,-80.08,-915.53,429.69,-0.5,1.02,1.3,475,0,7.4605,6.51942,-70.6746,6847.84,79.5871,602.19,-497.875,-96.8973,0,72
2402,761.39,766.57,757.77,759.15,761.22,-77.15,-912.6,421.87,-1.02,2.09,0.35,481,0,7.44367,6.20223,-70.5885,6741.29,117.913,581.966,-497.33,-95.501,0,72
2433,761.32,766.58,757.78,759.17,761.21,-73.73,-918.95,407.23,0.53,1.3,0.3,488,0,7.37332,6.44266,-70.8769,6818.23,49.6486,580.805,-498.299,-96.1972,0,72
2464,761.28,766.6,757.81,759.2,761.22,-76.66,-917.48,426.76,-0.15,1.46,1.21,494,0,7.56271,6.28021,-70.7845,6704.12,22.639,713.655,-498.68,-94.7118,0,72
