currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,14.64,14.77,14.59,14.65,14.66,-44.92,-885.74,531.25,1.32,-0.04,0.61
54,14.64,14.77,14.59,14.64,14.66,-27.83,-877.93,524.90,-1.89,-0.40,1.06
84,14.64,14.77,14.59,14.64,14.66,-31.74,-877.44,532.71,1.95,-1.53,0.49
115,14.64,14.77,14.59,14.65,14.66,-46.39,-884.77,522.95,1.03,1.16,-1.34
146,14.64,14.77,14.59,14.65,14.66,-30.76,-888.18,534.18,-1.17,-1.05,-0.06
176,14.64,14.77,14.59,14.65,14.66,-30.27,-871.09,535.16,-0.91,0.10,-1.44
207,14.64,14.77,14.59,14.64,14.66,-31.25,-881.84,523.44,1.68,1.43,-1.72
238,14.64,14.77,14.59,14.65,14.66,-27.34,-874.02,528.81,-0.29,0.02,0.00
269,14.64,14.77,14.60,14.65,14.66,-35.64,-880.86,520.51,-1.47,0.54,-3.43
300,14.65,14.77,14.59,14.64,14.66,-29.30,-881.35,526.86,-0.17,-0.56,-0.39
331,14.64,14.77,14.59,14.64,14.66,-34.18,-880.37,526.86,0.12,-0.06,-1.47
362,14.64,14.77,14.59,14.65,14.66,-33.69,-878.42,530.76,-1.05,-1.84,-2.95
392,14.65,14.77,14.59,14.65,14.66,-37.60,-889.16,524.90,-1.40,3.55,0.68
424,14.64,14.77,14.59,14.64,14.66,-41.99,-885.74,523.93,0.47,-0.47,-1.50
455,14.64,14.77,14.59,14.64,14.66,-47.36,-863.77,528.32,0.03,2.66,-0.89
485,14.64,14.77,14.59,14.64,14.66,-31.74,-880.37,518.55,0.90,1.02,-1.41
516,14.64,14.77,14.59,14.64,14.66,-29.30,-887.21,513.67,-1.43,-0.08,0.26
548,14.65,14.77,14.59,14.65,14.66,-26.37,-891.60,519.04,0.47,0.66,-0.54
578,14.65,14.77,14.59,14.65,14.66,-34.67,-875.98,523.44,0.63,-1.92,0.63
609,14.64,14.77,14.59,14.64,14.66,-37.60,-887.21,534.67,0.35,0.74,-0.18
640,14.65,14.77,14.59,14.64,14.66,-27.34,-873.05,538.57,1.82,-2.02,2.03
671,14.65,14.77,14.59,14.65,14.66,-40.04,-890.62,527.83,0.47,-0.50,-0.36
702,14.65,14.77,14.59,14.65,14.67,-42.97,-884.77,527.34,1.43,-1.96,-2.22
733,14.64,14.77,14.59,14.65,14.67,-30.27,-875.98,529.79,-0.44,-1.62,-0.47
764,14.65,14.77,14.59,14.65,14.66,-36.13,-888.18,518.07,0.76,3.59,-1.60
795,14.65,14.77,14.60,14.65,14.67,-34.18,-875.49,542.48,-0.04,0.37,-1.87
826,14.64,14.77,14.59,14.65,14.67,-24.90,-886.23,523.44,-0.79,0.62,0.51
857,14.65,14.77,14.59,14.65,14.67,-30.27,-890.14,512.21,-0.02,2.92,-1.82
888,14.64,14.77,14.59,14.65,14.66,-34.18,-884.77,521.97,-2.45,1.97,-1.61
919,14.64,14.77,14.59,14.65,14.66,-36.62,-878.42,531.25,-4.22,0.40,-0.55
950,14.64,14.77,14.59,14.65,14.66,-31.25,-877.44,526.37,-2.08,1.54,-2.92
981,14.65,14.77,14.59,14.65,14.67,-35.64,-877.44,525.39,-0.27,-0.18,0.81
1012,14.64,14.77,14.59,14.65,14.67,-41.50,-882.81,508.79,1.33,1.55,0.47
1043,14.65,14.77,14.59,14.65,14.67,-49.32,-903.81,521.97,1.24,0.72,0.02
1074,14.65,14.77,14.59,14.65,14.67,-44.43,-888.18,513.67,1.41,-0.16,1.34
1105,14.65,14.78,14.59,14.65,14.67,-28.32,-888.18,520.51,-0.92,-0.40,-0.36
1136,14.65,14.77,14.59,14.65,14.67,-45.90,-874.51,531.74,0.07,0.67,-1.52
