currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,0,0,0,0,0,-44.92,-885.74,531.25,1.32,-0.04,0.61
54,0,0,0,0,0,-27.83,-877.93,524.9,-1.89,-0.4,1.06
84,0,0,0,0,0,-31.74,-877.44,532.71,1.95,-1.53,0.49
115,0,0,0,0,0,-46.39,-884.77,522.95,1.03,1.16,-1.34
146,0,0,0,0,0,-30.76,-888.18,534.18,-1.17,-1.05,-0.06
176,0,0,0,0,0,-30.27,-871.09,535.16,-0.91,0.1,-1.44
207,0,0,0,0,0,-31.25,-881.84,523.44,1.68,1.43,-1.72
238,0,0,0,0,0,-27.34,-874.02,528.81,-0.29,0.02,0
269,0,0,0,0,0,-35.64,-880.86,520.51,-1.47,0.54,-3.43
300,0,0,0,0,0,-29.3,-881.35,526.86,-0.17,-0.56,-0.39
331,0,0,0,0,0,-34.18,-880.37,526.86,0.12,-0.06,-1.47
362,0,0,0,0,0,-33.69,-878.42,530.76,-1.05,-1.84,-2.95
392,0,0,0,0,0,-37.6,-889.16,524.9,-1.4,3.55,0.68
424,0,0,0,0,0,-41.99,-885.74,523.93,0.47,-0.47,-1.5
455,0,0,0,0,0,-47.36,-863.77,528.32,0.03,2.66,-0.89
485,0,0,0,0,0,-31.74,-880.37,518.55,0.9,1.02,-1.41
516,0,0,0,0,0,-29.3,-887.21,513.67,-1.43,-0.08,0.26
548,0,0,0,0,0,-26.37,-891.6,519.04,0.47,0.66,-0.54
578,0,0,0,0,0,-34.67,-875.98,523.44,0.63,-1.92,0.63
609,0,0,0,0,0,-37.6,-887.21,534.67,0.35,0.74,-0.18
640,0,0,0,0,0,-27.34,-873.05,538.57,1.82,-2.02,2.03
671,0,0,0,0,0,-40.04,-890.62,527.83,0.47,-0.5,-0.36
702,0,0,0,0,0,-42.97,-884.77,527.34,1.43,-1.96,-2.22
733,0,0,0,0,0,-30.27,-875.98,529.79,-0.44,-1.62,-0.47
764,0,0,0,0,0,-36.13,-888.18,518.07,0.76,3.59,-1.6
795,0,0,0,0,0,-34.18,-875.49,542.48,-0.04,0.37,-1.87
826,0,0,0,0,0,-24.9,-886.23,523.44,-0.79,0.62,0.51
857,0,0,0,0,0,-30.27,-890.14,512.21,-0.02,2.92,-1.82
888,0,0,0,0,0,-34.18,-884.77,521.97,-2.45,1.97,-1.61
919,0,0,0,0,0,-36.62,-878.42,531.25,-4.22,0.4,-0.55
950,0,0,0,0,0,-31.25,-877.44,526.37,-2.08,1.54,-2.92
981,0,0,0,0,0,-35.64,-877.44,525.39,-0.27,-0.18,0.81
1012,0,0,0,0,0,-41.5,-882.81,508.79,1.33,1.55,0.47
1043,0,0,0,0,0,-49.32,-903.81,521.97,1.24,0.72,0.02
1074,0,0,0,0,0,-44.43,-888.18,513.67,1.41,-0.16,1.34
1105,0,0,0,0,0,-28.32,-888.18,520.51,-0.92,-0.4,-0.36
1136,0,0,0,0,0,-45.9,-874.51,531.74,0.07,0.67,-1.52
1167,0,0,0,0,0,-29.3,-878.91,526.37,0.54,0.04,-2.95
1198,0,0,0,0,0,-42.48,-875,519.53,0.34,0.85,-1.19
1229,0,0,0,0,0,-40.53,-882.81,514.65,-0.63,2.31,0.1
1260,0,0,0,0,0,-37.6,-878.42,526.86,-1.56,1.61,-0.44
1291,0,0,0,0,0,-40.04,-893.55,529.3,0.37,0.41,0.58
1322,0,0,0,0,0,-36.62,-884.77,514.65,-2.31,-0.62,-0.95
1353,0,0,0,0,0,-17.58,-878.42,513.67,-3.21,-2.56,-2.55
1384,0,0,0,0,0,-36.13,-890.62,523.44,-0.2,-0.45,-0.95
1415,0,0,0,0,0,-49.8,-875.49,510.25,0.68,2.18,-1.15
1446,0,0,0,0,0,-42.48,-875.49,515.62,-2.22,2.79,-1.6
1477,0,0,0,0,0,-41.5,-875,526.37,-2.22,1.15,0.21
1507,0,0,0,0,0,-41.02,-868.16,505.86,-3.19,3.52,-2.15
1538,0,0,0,0,0,-34.67,-878.42,513.18,-2.88,-0.31,0.36
1568,0,0,0,0,0,-42.97,-881.35,508.3,-1.31,2.46,-2.49
1599,0,0,0,0,0,-29.3,-891.11,506.35,-2.25,0.72,0.3
1629,0,0,0,0,0,-54.2,-877.44,521.48,0.1,2.21,-3.26
1659,0,0,0,0,0,-37.6,-880.86,536.62,-0.1,1.99,-1.3
1690,0,0,0,0,0,-44.92,-889.16,516.6,1.79,1.11,1.39
1721,0,0,0,0,0,-39.55,-877.93,505.37,0.85,1.4,-2.5
1752,0,0,0,0,0,-41.5,-887.21,519.04,-0.59,1.01,1.64
1782,0,0,0,0,0,-48.34,-878.91,526.37,0.92,4.21,-0.52
1813,0,0,0,0,0,-41.02,-880.86,528.32,-0.18,0.37,-1.62
1844,0,0,0,0,0,-42.48,-888.67,517.09,-0.63,1.04,-0.86
1874,0,0,0,0,0,-32.71,-889.16,518.07,0.18,2.55,0.06
1905,0,0,0,0,0,-39.06,-877.93,513.18,1.08,-0.32,-2.77
1936,0,0,0,0,0,-38.57,-884.77,505.37,-1,0.98,1.18
1967,0,0,0,0,0,-31.74,-887.21,511.72,2.62,-0.85,-1.13
1998,0,0,0,0,0,-31.25,-873.54,534.67,2.26,-1.75,-0.67
2029,0,0,0,0,0,-37.11,-876.95,531.74,-0.33,-2.16,2.45
