currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Amplified_Sensor
0,14.49,14.47,14.64,14.5,14.53,-70.8,-910.64,467.77,0.05,0.56,0.56,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-70.31,-914.55,462.4,-0.16,-1.15,0.02,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-70.8,-931.64,458.98,0.11,0.47,-0.94,129.52178633975473
0,14.49,14.48,14.64,14.5,14.53,-70.31,-914.06,454.59,-0.63,0.55,0.26,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-70.8,-918.46,456.54,-0.85,0.02,-2.04,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-70.8,-908.2,465.33,0.25,0.83,-1.28,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-58.11,-920.9,468.26,-1.08,1.21,2.24,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-70.31,-928.22,459.47,-0.93,-1.02,-1.09,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-71.78,-909.67,455.08,2.19,-1.15,-0.5,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-51.27,-911.13,458.98,-0.95,2.4,-0.52,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-68.85,-916.02,458.98,1.27,1.73,2.19,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-67.38,-925.29,450.2,0.9,0.68,0.02,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-61.04,-918.95,462.89,0.53,-1.81,1.62,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-67.38,-920.41,459.47,1.01,-0.36,-1.22,129.52178633975473
0,14.49,14.48,14.64,14.5,14.53,-72.27,-921.39,458.01,-3.54,-2.43,-2.24,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-58.11,-917.97,453.12,0.1,0.22,-1.64,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-64.45,-931.64,461.43,-0.31,-1.15,0.08,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-62.5,-917.48,458.01,0.66,3.27,0.13,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-77.64,-921.87,444.82,1.26,3.14,0.08,129.52178633975473
0,14.49,14.48,14.64,14.5,14.53,-78.12,-910.64,444.82,-1.05,-0.79,0.53,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-63.48,-917.97,471.19,2.32,-0.94,0.19,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-60.55,-919.92,467.77,0.79,-2.56,-0.13,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-72.27,-935.06,460.45,0.15,0.13,-2.66,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-73.24,-910.64,462.89,-2.08,-2.44,-0.25,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-69.82,-915.53,454.59,0.31,1.73,-2.6,129.52178633975473
0,14.49,14.48,14.64,14.5,14.53,-71.29,-909.67,464.36,1.43,-0.21,-0.34,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-59.57,-901.86,469.73,0.06,2.32,-0.16,129.52178633975473
0,14.49,14.47,14.64,14.5,14.53,-61.52,-916.99,464.36,0.05,0.27,0.16,129.52178633975473
0,14.49,14.48,14.64,14.5,14.53,-67.87,-920.41,459.96,-1.28,2.23,-0.4,129.52178633975473
0,14.49,14.48,14.64,14.5,14.53,-63.96,-918.46,460.94,-0.42,1.43,1.76,129.52178633975473
